# sweep Nv Ne
0 3 3
1000 3 3
2000 3 3
3000 3 3
4000 3 3
5000 3 3
6000 3 3
7000 3 3
8000 3 3
9000 3 3
10000 3 3
11000 3 3
12000 3 3
13000 3 3
14000 3 3
15000 3 3
16000 3 3
17000 3 3
18000 3 3
19000 3 3
20000 3 3
21000 3 3
22000 3 3
23000 3 3
24000 3 3
25000 3 3
26000 3 3
27000 3 3
28000 3 3
29000 3 3
30000 3 3
31000 3 3
32000 3 3
33000 3 3
34000 3 3
35000 3 3
36000 3 3
37000 3 3
38000 3 3
39000 3 3
40000 3 3
41000 3 3
42000 3 3
43000 3 3
44000 3 3
45000 3 3
46000 3 3
47000 3 3
48000 4 5
49000 4 5
50000 4 5
51000 4 5
52000 4 5
53000 3 3
54000 4 5
55000 4 5
56000 4 5
57000 4 5
58000 5 7
59000 5 7
60000 5 7
61000 6 9
62000 6 9
63000 6 9
64000 6 9
65000 6 9
66000 6 9
67000 6 9
68000 6 9
69000 6 9
70000 6 9
71000 5 7
72000 5 7
73000 5 7
74000 5 7
75000 5 7
76000 5 7
77000 5 7
78000 5 7
79000 5 7
80000 5 7
81000 4 5
82000 4 5
83000 5 7
84000 5 7
85000 5 7
86000 5 7
87000 5 7
88000 5 7
89000 5 7
90000 5 7
91000 5 7
92000 5 7
93000 5 7
94000 5 7
95000 5 7
96000 5 7
97000 5 7
98000 5 7
99000 5 7
100000 5 7
101000 5 7
102000 5 7
103000 5 7
104000 4 5
105000 5 7
106000 5 7
107000 5 7
108000 5 7
109000 5 7
110000 5 7
111000 5 7
112000 5 7
113000 5 7
114000 5 7
115000 5 7
116000 5 7
117000 5 7
118000 6 9
119000 6 9
120000 6 9
121000 6 9
122000 6 9
123000 6 9
124000 7 11
125000 7 11
126000 7 11
127000 7 11
128000 7 11
129000 7 11
130000 6 9
131000 6 9
132000 6 9
133000 6 9
134000 5 7
135000 5 7
136000 5 7
137000 5 7
138000 4 5
139000 4 5
140000 5 7
141000 5 7
142000 5 7
143000 6 9
144000 6 9
145000 6 9
146000 6 9
147000 6 9
148000 6 9
149000 6 9
150000 6 9
151000 6 9
152000 6 9
153000 6 9
154000 6 9
155000 6 9
156000 6 9
157000 6 9
158000 6 9
159000 5 7
160000 5 7
161000 5 7
162000 5 7
163000 5 7
164000 5 7
165000 5 7
166000 5 7
167000 5 7
168000 5 7
169000 5 7
170000 5 7
171000 5 7
172000 6 9
173000 6 9
174000 6 9
175000 6 9
176000 6 9
177000 6 9
178000 6 9
179000 6 9
180000 6 9
181000 6 9
182000 6 9
183000 6 9
184000 6 9
185000 6 9
186000 6 9
187000 6 9
188000 6 9
189000 6 9
190000 6 9
191000 6 9
192000 5 7
193000 4 5
194000 4 5
195000 4 5
196000 4 5
197000 4 5
198000 4 5
199000 4 5
200000 4 5
201000 4 5
202000 4 5
203000 4 5
204000 4 5
205000 4 5
206000 4 5
207000 4 5
208000 4 5
209000 4 5
210000 4 5
211000 4 5
212000 4 5
213000 4 5
214000 4 5
215000 4 5
216000 5 7
217000 5 7
218000 5 7
219000 5 7
220000 4 5
221000 4 5
222000 4 5
223000 4 5
224000 4 5
225000 4 5
226000 3 3
227000 3 3
228000 3 3
229000 3 3
230000 3 3
231000 3 3
232000 3 3
233000 3 3
234000 3 3
235000 3 3
236000 3 3
237000 3 3
238000 3 3
239000 3 3
240000 3 3
241000 3 3
242000 3 3
243000 3 3
244000 3 3
245000 3 3
246000 3 3
247000 3 3
248000 3 3
249000 3 3
250000 3 3
251000 3 3
252000 3 3
253000 3 3
254000 3 3
255000 3 3
256000 3 3
257000 3 3
258000 3 3
259000 3 3
260000 3 3
261000 4 5
262000 4 5
263000 3 3
264000 3 3
265000 3 3
266000 3 3
267000 3 3
268000 3 3
269000 3 3
270000 3 3
271000 3 3
272000 3 3
273000 3 3
274000 3 3
275000 3 3
276000 3 3
277000 3 3
278000 3 3
279000 3 3
280000 3 3
281000 3 3
282000 3 3
283000 3 3
284000 3 3
285000 3 3
286000 3 3
287000 3 3
288000 3 3
289000 3 3
290000 3 3
291000 3 3
292000 3 3
293000 3 3
294000 3 3
295000 3 3
296000 3 3
297000 3 3
298000 3 3
299000 3 3
300000 3 3
301000 3 3
302000 3 3
303000 3 3
304000 4 5
305000 4 5
306000 4 5
307000 4 5
308000 4 5
309000 4 5
310000 3 3
311000 3 3
312000 3 3
313000 3 3
314000 3 3
315000 3 3
316000 3 3
317000 3 3
318000 3 3
319000 3 3
320000 3 3
321000 3 3
322000 3 3
323000 3 3
324000 3 3
325000 3 3
326000 3 3
327000 3 3
328000 3 3
329000 3 3
330000 3 3
331000 3 3
332000 3 3
333000 3 3
334000 3 3
335000 3 3
336000 3 3
337000 3 3
338000 3 3
339000 3 3
340000 3 3
341000 3 3
342000 3 3
343000 3 3
344000 3 3
345000 3 3
346000 3 3
347000 3 3
348000 3 3
349000 3 3
350000 3 3
351000 3 3
352000 3 3
353000 3 3
354000 3 3
355000 3 3
356000 3 3
357000 3 3
358000 3 3
359000 3 3
360000 3 3
361000 3 3
362000 3 3
363000 3 3
364000 3 3
365000 3 3
366000 4 5
367000 4 5
368000 5 7
369000 5 7
370000 5 7
371000 4 5
372000 4 5
373000 4 5
374000 4 5
375000 4 5
376000 4 5
377000 4 5
378000 4 5
379000 4 5
380000 4 5
381000 4 5
382000 4 5
383000 4 5
384000 4 5
385000 3 3
386000 3 3
387000 3 3
388000 3 3
389000 3 3
390000 3 3
391000 3 3
392000 3 3
393000 3 3
394000 3 3
395000 3 3
396000 3 3
397000 3 3
398000 3 3
399000 3 3
400000 3 3
401000 3 3
402000 3 3
403000 3 3
404000 3 3
405000 3 3
406000 3 3
407000 3 3
408000 3 3
409000 3 3
410000 3 3
411000 3 3
412000 3 3
413000 3 3
414000 3 3
415000 3 3
416000 3 3
417000 3 3
418000 3 3
419000 3 3
420000 3 3
421000 3 3
422000 3 3
423000 3 3
424000 3 3
425000 3 3
426000 3 3
427000 3 3
428000 3 3
429000 3 3
430000 3 3
431000 3 3
432000 3 3
433000 3 3
434000 3 3
435000 3 3
436000 3 3
437000 3 3
438000 3 3
439000 3 3
440000 3 3
441000 3 3
442000 3 3
443000 3 3
444000 3 3
445000 3 3
446000 3 3
447000 3 3
448000 3 3
449000 3 3
450000 3 3
451000 3 3
452000 3 3
453000 3 3
454000 3 3
455000 3 3
456000 3 3
457000 3 3
458000 3 3
459000 3 3
460000 3 3
461000 3 3
462000 3 3
463000 3 3
464000 3 3
465000 3 3
466000 3 3
467000 3 3
468000 3 3
469000 3 3
470000 3 3
471000 3 3
472000 3 3
473000 3 3
474000 3 3
475000 3 3
476000 3 3
477000 3 3
478000 3 3
479000 3 3
480000 3 3
481000 3 3
482000 3 3
483000 3 3
484000 3 3
485000 3 3
486000 3 3
487000 3 3
488000 3 3
489000 3 3
490000 3 3
491000 3 3
492000 3 3
493000 3 3
494000 4 5
495000 4 5
496000 4 5
497000 4 5
498000 4 5
499000 4 5
500000 4 5
501000 4 5
502000 4 5
503000 4 5
504000 4 5
505000 4 5
506000 4 5
507000 4 5
508000 4 5
509000 4 5
510000 4 5
511000 4 5
512000 4 5
513000 4 5
514000 4 5
515000 5 7
516000 6 9
517000 6 9
518000 6 9
519000 6 9
520000 6 9
521000 6 9
522000 6 9
523000 6 9
524000 6 9
525000 6 9
526000 7 11
527000 7 11
528000 7 11
529000 7 11
530000 7 11
531000 7 11
532000 7 11
533000 7 11
534000 7 11
535000 7 11
536000 7 11
537000 7 11
538000 7 11
539000 8 13
540000 8 13
541000 8 13
542000 8 13
543000 8 13
544000 8 13
545000 8 13
546000 8 13
547000 8 13
548000 8 13
549000 8 13
550000 8 13
551000 8 13
552000 8 13
553000 8 13
554000 8 13
555000 9 15
556000 9 15
557000 9 15
558000 9 15
559000 9 15
560000 9 15
561000 9 16
562000 9 16
563000 9 16
564000 9 16
565000 9 16
566000 9 16
567000 9 16
568000 9 16
569000 9 16
570000 10 18
571000 10 18
572000 9 16
573000 9 16
574000 9 16
575000 9 16
576000 9 16
577000 9 16
578000 9 16
579000 9 16
580000 9 16
581000 9 16
582000 9 16
583000 9 16
584000 9 16
585000 9 16
586000 9 16
587000 9 16
588000 9 16
589000 9 16
590000 9 16
591000 9 16
592000 9 16
593000 9 16
594000 9 16
595000 9 16
596000 9 16
597000 9 16
598000 9 16
599000 9 16
600000 9 16
601000 9 16
602000 9 16
603000 9 16
604000 9 16
605000 9 16
606000 9 16
607000 9 16
608000 9 16
609000 9 16
610000 9 16
611000 9 16
612000 9 16
613000 9 16
614000 9 16
615000 9 16
616000 9 16
617000 9 16
618000 9 16
619000 9 16
620000 9 16
621000 9 16
622000 9 16
623000 9 16
624000 9 16
625000 9 16
626000 9 16
627000 9 16
628000 9 16
629000 9 16
630000 9 16
631000 9 16
632000 9 16
633000 9 15
634000 9 15
635000 9 15
636000 9 15
637000 8 13
638000 8 14
639000 8 14
640000 8 14
641000 8 14
642000 8 14
643000 8 14
644000 8 14
645000 8 14
646000 8 14
647000 8 14
648000 8 14
