# sweep Nv Ne
0 3 3
1000 3 3
2000 3 3
3000 3 3
4000 3 3
5000 3 3
6000 3 3
7000 3 3
8000 3 3
9000 3 3
10000 3 3
11000 3 3
12000 3 3
13000 3 3
14000 3 3
15000 3 3
16000 3 3
17000 3 3
18000 3 3
19000 3 3
20000 3 3
21000 3 3
22000 3 3
23000 3 3
24000 3 3
25000 3 3
26000 3 3
27000 3 3
28000 3 3
29000 3 3
30000 3 3
31000 3 3
32000 3 3
33000 4 5
34000 3 3
35000 3 3
36000 3 3
37000 3 3
38000 3 3
39000 3 3
40000 3 3
41000 3 3
42000 3 3
43000 3 3
44000 3 3
45000 3 3
46000 3 3
47000 3 3
48000 3 3
49000 3 3
50000 3 3
51000 3 3
52000 3 3
53000 3 3
54000 3 3
55000 3 3
56000 3 3
57000 3 3
58000 3 3
59000 3 3
60000 3 3
61000 3 3
62000 3 3
63000 3 3
64000 3 3
65000 3 3
66000 3 3
67000 3 3
68000 3 3
69000 3 3
70000 3 3
71000 3 3
72000 3 3
73000 3 3
74000 3 3
75000 3 3
76000 4 5
77000 4 5
78000 5 7
79000 5 7
80000 5 7
81000 5 7
82000 5 7
83000 5 7
84000 5 7
85000 5 7
86000 5 7
87000 5 7
88000 5 7
89000 5 7
90000 5 7
91000 5 7
92000 5 7
93000 6 9
94000 6 9
95000 6 9
96000 6 9
97000 6 9
98000 6 9
99000 6 9
100000 6 9
101000 6 9
102000 5 7
103000 5 7
104000 5 7
105000 5 7
106000 5 7
107000 5 7
108000 5 7
109000 5 7
110000 5 7
111000 5 7
112000 5 7
113000 5 7
114000 5 7
115000 4 5
116000 4 5
117000 4 5
118000 4 5
119000 4 5
120000 4 5
121000 4 5
122000 4 5
123000 5 7
124000 5 7
125000 5 7
126000 5 7
127000 5 7
128000 5 7
129000 5 7
130000 5 7
131000 6 9
132000 6 9
133000 6 9
134000 6 9
135000 6 9
136000 5 7
137000 5 7
138000 5 7
139000 5 7
140000 5 7
141000 6 9
142000 6 9
143000 6 9
144000 6 9
145000 6 9
146000 6 9
147000 6 9
148000 6 9
149000 6 9
150000 6 9
151000 6 9
152000 7 11
153000 7 12
154000 7 12
155000 7 12
156000 7 12
157000 8 14
158000 8 14
159000 8 14
160000 8 14
161000 8 14
162000 8 14
163000 9 16
164000 8 14
165000 8 14
166000 8 14
167000 7 12
168000 7 12
169000 7 12
170000 7 12
171000 7 12
172000 7 12
173000 7 12
174000 7 12
175000 7 12
176000 7 12
177000 7 12
178000 7 12
179000 7 12
180000 7 12
181000 7 12
182000 7 12
183000 7 12
184000 7 12
185000 7 12
186000 7 12
187000 7 12
188000 7 12
189000 7 12
190000 7 12
191000 7 12
192000 7 12
193000 7 12
194000 7 12
195000 7 12
196000 7 12
197000 7 12
198000 7 12
199000 7 12
200000 7 12
201000 7 12
202000 7 12
203000 7 12
204000 7 12
205000 7 12
206000 7 12
207000 7 12
208000 7 12
209000 7 12
210000 7 12
211000 7 12
212000 7 12
213000 7 12
214000 7 12
215000 7 12
216000 7 12
217000 7 12
218000 7 12
219000 7 12
220000 7 12
221000 7 12
222000 7 12
223000 7 12
224000 7 12
225000 7 12
226000 7 12
227000 7 12
228000 7 12
229000 7 12
230000 7 12
231000 7 12
232000 7 12
233000 7 12
234000 7 12
235000 7 12
236000 8 14
237000 8 14
238000 8 14
239000 8 14
240000 8 14
241000 8 14
242000 8 14
243000 8 14
244000 7 12
245000 7 12
246000 7 12
247000 7 12
248000 7 12
249000 7 12
250000 7 12
251000 7 12
252000 7 12
253000 7 12
254000 7 12
255000 7 12
256000 7 12
257000 7 12
258000 6 10
259000 6 10
260000 6 10
261000 6 10
262000 6 10
263000 6 10
264000 6 10
265000 6 10
266000 6 10
267000 6 10
268000 6 10
269000 6 10
270000 6 9
271000 6 9
272000 6 9
273000 6 9
274000 6 9
275000 6 9
276000 6 9
277000 6 9
278000 6 9
279000 6 9
280000 6 9
281000 6 9
282000 6 9
283000 6 9
284000 6 9
285000 6 9
286000 6 9
287000 6 9
288000 7 11
289000 7 11
290000 7 11
291000 7 11
292000 7 11
293000 7 11
294000 7 11
295000 7 11
296000 7 11
297000 7 11
298000 7 11
299000 7 11
300000 7 11
301000 7 11
302000 7 12
303000 7 12
304000 7 12
305000 7 12
306000 7 12
307000 7 12
308000 7 12
309000 7 12
310000 7 12
311000 8 14
312000 8 14
313000 8 14
314000 8 14
315000 8 14
316000 7 12
317000 7 12
318000 7 12
319000 9 16
320000 9 16
321000 9 16
322000 9 16
323000 9 16
324000 9 16
325000 9 16
326000 9 16
327000 9 16
328000 9 16
329000 9 16
330000 9 16
331000 9 16
332000 9 16
333000 9 16
334000 9 16
335000 9 16
336000 9 16
337000 9 16
338000 10 18
339000 10 18
340000 10 18
341000 10 18
342000 10 18
343000 9 16
344000 9 16
345000 9 16
346000 8 14
347000 8 14
348000 7 12
349000 7 12
350000 7 12
351000 7 12
352000 7 12
353000 7 12
354000 7 12
355000 7 12
356000 7 12
357000 8 14
358000 8 14
359000 8 14
360000 8 14
361000 8 14
362000 8 14
363000 8 14
364000 8 14
365000 8 14
366000 8 14
367000 8 14
368000 8 14
369000 8 14
370000 8 14
371000 8 14
372000 8 14
373000 8 14
374000 8 14
375000 8 14
376000 8 14
377000 8 14
378000 8 14
379000 8 14
380000 8 14
381000 8 14
382000 8 14
383000 8 14
384000 8 14
385000 8 14
386000 8 14
387000 8 14
388000 8 14
389000 8 14
390000 8 14
391000 8 14
392000 8 14
393000 8 14
394000 8 14
395000 8 14
396000 8 14
397000 8 14
398000 8 14
399000 8 14
400000 8 14
401000 8 14
402000 8 14
403000 8 14
404000 8 14
405000 8 14
406000 8 14
407000 8 14
408000 8 14
409000 8 14
410000 8 14
411000 8 14
412000 8 14
413000 8 14
414000 8 13
415000 8 13
416000 8 13
417000 8 13
418000 8 13
419000 8 14
420000 8 14
421000 8 14
422000 8 14
423000 8 14
424000 8 14
425000 8 14
426000 8 14
427000 8 14
428000 9 16
429000 8 14
430000 8 14
431000 8 14
432000 8 14
433000 8 14
434000 8 14
435000 8 14
436000 8 14
437000 7 12
438000 7 12
439000 7 12
440000 7 12
441000 7 12
442000 7 12
443000 7 12
444000 7 12
445000 7 12
446000 7 12
447000 7 12
448000 7 12
449000 7 12
450000 7 12
451000 7 12
452000 7 12
453000 7 12
454000 7 12
455000 7 12
456000 7 12
457000 7 12
458000 7 12
459000 7 12
460000 7 12
461000 7 12
462000 7 12
463000 7 12
464000 7 12
465000 7 12
466000 7 12
467000 7 12
468000 7 12
469000 7 12
470000 7 12
471000 7 12
472000 7 12
473000 7 12
474000 7 12
475000 7 12
476000 7 12
477000 7 12
478000 7 12
479000 7 12
480000 7 12
481000 7 12
482000 7 12
483000 7 12
484000 7 12
485000 7 12
486000 7 12
487000 7 12
488000 7 12
489000 7 12
490000 7 12
491000 7 12
492000 7 12
493000 7 12
494000 7 12
495000 7 12
496000 7 12
497000 7 12
498000 7 12
499000 7 12
500000 7 12
501000 7 12
502000 8 14
503000 8 14
504000 8 14
505000 8 14
506000 8 14
507000 8 14
508000 8 14
509000 8 14
510000 7 12
511000 7 12
512000 7 12
513000 7 12
514000 7 12
515000 7 12
516000 7 12
517000 6 10
518000 6 10
519000 6 10
520000 6 10
521000 6 10
522000 6 10
523000 6 10
524000 6 10
525000 6 10
526000 6 10
527000 6 10
528000 6 10
529000 6 10
530000 6 10
531000 6 10
532000 6 10
533000 7 12
534000 7 12
535000 7 12
536000 7 12
537000 7 12
538000 7 12
539000 7 12
540000 7 12
541000 7 12
542000 8 14
543000 8 14
544000 8 14
545000 8 14
546000 7 12
547000 7 12
548000 7 12
549000 7 12
550000 7 12
551000 7 12
552000 7 12
553000 7 12
554000 7 12
555000 7 12
556000 7 12
557000 7 12
558000 7 12
559000 7 12
560000 7 12
561000 7 12
562000 7 12
563000 7 12
564000 7 12
565000 7 12
566000 7 12
567000 7 12
568000 7 12
569000 7 12
570000 7 12
571000 7 12
572000 8 14
573000 8 14
574000 8 14
575000 8 14
576000 8 14
577000 8 14
578000 8 14
579000 8 14
580000 7 12
581000 7 12
582000 7 12
583000 7 12
584000 7 12
585000 7 12
586000 7 12
587000 7 12
588000 7 12
589000 8 14
590000 8 14
591000 8 14
592000 8 14
593000 8 14
594000 8 14
595000 8 14
596000 8 14
597000 8 14
598000 8 14
599000 8 14
600000 8 14
601000 8 14
602000 8 14
603000 8 14
604000 8 14
605000 8 14
606000 8 14
607000 8 14
608000 8 14
609000 8 14
610000 8 14
611000 8 14
612000 8 14
613000 8 14
614000 8 14
615000 8 14
616000 8 14
617000 8 14
618000 7 12
619000 7 12
620000 7 12
621000 7 12
622000 7 12
623000 7 12
624000 7 12
625000 7 12
626000 7 12
627000 7 12
628000 8 14
629000 8 14
630000 8 14
631000 8 14
632000 8 14
633000 9 16
634000 8 14
635000 8 14
636000 8 14
637000 8 14
638000 7 12
639000 6 10
640000 6 10
641000 6 10
642000 6 10
643000 6 10
644000 6 10
645000 6 10
646000 6 10
647000 6 10
648000 6 10
