# sweep Nv Ne
0 3 3
1000 3 3
2000 3 3
3000 3 3
4000 3 3
5000 3 3
6000 3 3
7000 3 3
8000 3 3
9000 3 3
10000 3 3
11000 3 3
12000 3 3
13000 3 3
14000 3 3
15000 3 3
16000 3 3
17000 3 3
18000 3 3
19000 3 3
20000 3 3
21000 3 3
22000 3 3
23000 3 3
24000 3 3
25000 3 3
26000 3 3
27000 3 3
28000 3 3
29000 3 3
30000 3 3
31000 3 3
32000 3 3
33000 3 3
34000 3 3
35000 3 3
36000 3 3
37000 3 3
38000 3 3
39000 3 3
40000 3 3
41000 3 3
42000 3 3
43000 3 3
44000 3 3
45000 3 3
46000 3 3
47000 3 3
48000 3 3
49000 3 3
50000 3 3
51000 3 3
52000 3 3
53000 3 3
54000 3 3
55000 3 3
56000 3 3
57000 3 3
58000 3 3
59000 3 3
60000 3 3
61000 3 3
62000 3 3
63000 3 3
64000 3 3
65000 3 3
66000 3 3
67000 3 3
68000 3 3
69000 3 3
70000 3 3
71000 3 3
72000 3 3
73000 3 3
74000 3 3
75000 3 3
76000 3 3
77000 3 3
78000 3 3
79000 3 3
80000 3 3
81000 3 3
82000 3 3
83000 3 3
84000 3 3
85000 3 3
86000 3 3
87000 3 3
88000 3 3
89000 3 3
90000 3 3
91000 3 3
92000 3 3
93000 3 3
94000 3 3
95000 3 3
96000 3 3
97000 3 3
98000 3 3
99000 3 3
100000 3 3
101000 3 3
102000 3 3
103000 3 3
104000 3 3
105000 3 3
106000 3 3
107000 3 3
108000 3 3
109000 3 3
110000 3 3
111000 3 3
112000 3 3
113000 3 3
114000 3 3
115000 3 3
116000 3 3
117000 3 3
118000 3 3
119000 3 3
120000 3 3
121000 3 3
122000 3 3
123000 3 3
124000 3 3
125000 3 3
126000 3 3
127000 3 3
128000 3 3
129000 3 3
130000 3 3
131000 3 3
132000 3 3
133000 3 3
134000 3 3
135000 3 3
136000 3 3
137000 3 3
138000 3 3
139000 3 3
140000 3 3
141000 3 3
142000 4 5
143000 4 5
144000 4 5
145000 4 5
146000 4 5
147000 4 5
148000 4 5
149000 4 5
150000 4 5
151000 4 5
152000 4 5
153000 4 5
154000 4 5
155000 4 5
156000 4 5
157000 4 5
158000 4 5
159000 4 5
160000 4 5
161000 4 5
162000 3 3
163000 3 3
164000 3 3
165000 3 3
166000 3 3
167000 3 3
168000 3 3
169000 3 3
170000 3 3
171000 3 3
172000 3 3
173000 3 3
174000 3 3
175000 3 3
176000 3 3
177000 3 3
178000 3 3
179000 3 3
180000 3 3
181000 3 3
182000 3 3
183000 3 3
184000 3 3
185000 3 3
186000 3 3
187000 3 3
188000 3 3
189000 3 3
190000 3 3
191000 3 3
192000 3 3
193000 3 3
194000 3 3
195000 3 3
196000 3 3
197000 3 3
198000 3 3
199000 3 3
200000 3 3
201000 3 3
202000 3 3
203000 4 5
204000 4 5
205000 4 5
206000 4 5
207000 4 5
208000 4 5
209000 4 5
210000 4 5
211000 4 5
212000 4 5
213000 4 5
214000 4 5
215000 4 5
216000 4 5
217000 4 5
218000 4 5
219000 4 5
220000 4 5
221000 4 5
222000 4 5
223000 4 5
224000 4 5
225000 4 5
226000 4 5
227000 4 5
228000 4 5
229000 4 5
230000 4 5
231000 4 5
232000 4 5
233000 4 5
234000 4 5
235000 4 5
236000 4 5
237000 4 5
238000 4 5
239000 4 5
240000 5 7
241000 5 7
242000 5 7
243000 4 5
244000 3 3
245000 3 3
246000 3 3
247000 3 3
248000 3 3
249000 3 3
250000 3 3
251000 3 3
252000 3 3
253000 3 3
254000 3 3
255000 3 3
256000 3 3
257000 3 3
258000 3 3
259000 3 3
260000 3 3
261000 3 3
262000 3 3
263000 3 3
264000 3 3
265000 3 3
266000 3 3
267000 3 3
268000 3 3
269000 3 3
270000 3 3
271000 3 3
272000 3 3
273000 3 3
274000 3 3
275000 3 3
276000 3 3
277000 3 3
278000 3 3
279000 3 3
280000 3 3
281000 3 3
282000 3 3
283000 3 3
284000 3 3
285000 3 3
286000 3 3
287000 3 3
288000 3 3
289000 3 3
290000 4 5
291000 4 5
292000 4 5
293000 4 5
294000 4 5
295000 4 5
296000 4 5
297000 4 5
298000 4 5
299000 4 5
300000 3 3
301000 3 3
302000 3 3
303000 3 3
304000 3 3
305000 3 3
306000 3 3
307000 3 3
308000 3 3
309000 3 3
310000 3 3
311000 3 3
312000 3 3
313000 3 3
314000 3 3
315000 3 3
316000 3 3
317000 3 3
318000 3 3
319000 3 3
320000 3 3
321000 3 3
322000 3 3
323000 3 3
324000 3 3
325000 3 3
326000 3 3
327000 3 3
328000 3 3
329000 3 3
330000 3 3
331000 3 3
332000 3 3
333000 3 3
334000 3 3
335000 3 3
336000 3 3
337000 3 3
338000 3 3
339000 3 3
340000 3 3
341000 3 3
342000 3 3
343000 3 3
344000 3 3
345000 3 3
346000 3 3
347000 3 3
348000 3 3
349000 3 3
350000 3 3
351000 3 3
352000 3 3
353000 4 5
354000 4 5
355000 3 3
356000 3 3
357000 3 3
358000 3 3
359000 3 3
360000 3 3
361000 3 3
362000 3 3
363000 4 5
364000 4 5
365000 4 5
366000 4 5
367000 4 5
368000 4 5
369000 4 5
370000 4 5
371000 4 5
372000 5 7
373000 5 7
374000 5 7
375000 5 7
376000 4 5
377000 4 5
378000 5 7
379000 5 7
380000 5 7
381000 5 7
382000 5 7
383000 5 7
384000 5 7
385000 5 7
386000 5 7
387000 5 7
388000 5 7
389000 5 7
390000 5 7
391000 5 7
392000 5 7
393000 5 7
394000 5 7
395000 5 7
396000 5 7
397000 5 7
398000 5 7
399000 5 7
400000 5 7
401000 5 7
402000 5 7
403000 5 7
404000 5 7
405000 5 7
406000 5 7
407000 5 7
408000 5 7
409000 5 7
410000 5 7
411000 5 7
412000 5 7
413000 5 7
414000 5 7
415000 5 7
416000 5 7
417000 5 7
418000 5 7
419000 5 7
420000 5 7
421000 5 7
422000 4 5
423000 4 5
424000 4 5
425000 4 5
426000 4 5
427000 4 5
428000 4 5
429000 4 5
430000 4 5
431000 4 5
432000 4 5
433000 4 5
434000 4 5
435000 4 5
436000 4 5
437000 4 5
438000 4 5
439000 4 5
440000 4 5
441000 5 7
442000 5 7
443000 5 7
444000 5 7
445000 6 9
446000 6 9
447000 6 9
448000 6 9
449000 7 11
450000 7 11
451000 7 11
452000 6 9
453000 6 9
454000 6 9
455000 6 9
456000 6 9
457000 6 9
458000 6 9
459000 6 9
460000 6 9
461000 6 9
462000 7 11
463000 7 11
464000 7 11
465000 7 11
466000 8 13
467000 8 14
468000 8 14
469000 8 14
470000 8 14
471000 7 12
472000 7 12
473000 7 12
474000 7 12
475000 7 12
476000 7 12
477000 7 12
478000 7 12
479000 7 12
480000 7 12
481000 7 12
482000 7 12
483000 7 12
484000 7 12
485000 7 12
486000 7 12
487000 7 12
488000 7 12
489000 7 12
490000 7 12
491000 7 12
492000 7 12
493000 7 12
494000 7 12
495000 7 12
496000 7 12
497000 7 12
498000 7 12
499000 7 12
500000 7 12
501000 7 12
502000 7 12
503000 7 12
504000 7 12
505000 8 14
506000 8 14
507000 8 14
508000 8 14
509000 8 14
510000 8 14
511000 8 14
512000 8 14
513000 8 14
514000 9 16
515000 8 14
516000 8 14
517000 8 14
518000 8 14
519000 8 14
520000 7 12
521000 7 12
522000 7 12
523000 7 12
524000 7 12
525000 7 12
526000 7 12
527000 7 12
528000 7 12
529000 7 12
530000 7 12
531000 7 12
532000 7 12
533000 7 12
534000 7 12
535000 7 12
536000 7 12
537000 7 12
538000 7 12
539000 7 12
540000 8 14
541000 8 14
542000 8 14
543000 8 14
544000 8 14
545000 8 14
546000 8 14
547000 8 14
548000 8 14
549000 8 14
550000 8 14
551000 8 14
552000 8 14
553000 8 14
554000 8 14
555000 8 14
556000 8 14
557000 8 14
558000 8 14
559000 8 14
560000 8 14
561000 7 12
562000 7 12
563000 7 12
564000 7 12
565000 8 14
566000 8 14
567000 8 14
568000 8 14
569000 8 14
570000 7 12
571000 7 12
572000 7 12
573000 7 12
574000 7 12
575000 7 12
576000 7 12
577000 7 12
578000 7 12
579000 7 12
580000 7 12
581000 7 12
582000 7 12
583000 7 12
584000 7 12
585000 9 16
586000 10 18
587000 9 16
588000 9 16
589000 9 16
590000 9 16
591000 9 16
592000 9 16
593000 9 16
594000 9 16
595000 9 16
596000 9 16
597000 9 16
598000 9 16
599000 9 16
600000 9 16
601000 9 16
602000 9 16
603000 9 16
604000 9 16
605000 9 16
606000 9 16
607000 9 16
608000 9 16
609000 9 16
610000 9 16
611000 9 16
612000 9 16
613000 9 16
614000 9 16
615000 10 18
616000 10 18
617000 10 18
618000 10 18
619000 10 18
620000 10 18
621000 10 18
622000 10 18
623000 10 18
624000 10 18
625000 11 20
626000 11 20
627000 11 20
628000 11 20
629000 11 20
630000 11 21
631000 11 21
632000 11 20
633000 12 22
634000 12 22
635000 12 22
636000 12 22
637000 11 19
638000 11 19
639000 11 19
640000 11 19
641000 11 20
642000 11 20
643000 11 20
644000 11 20
645000 11 20
646000 11 20
647000 11 20
648000 11 20
