# sweep Nv Ne
0 3 3
1000 3 3
2000 3 3
3000 3 3
4000 4 5
5000 4 5
6000 4 5
7000 4 5
8000 4 5
9000 5 7
10000 5 7
11000 5 7
12000 5 7
13000 5 7
14000 5 7
15000 5 7
16000 5 7
17000 5 7
18000 5 7
19000 5 7
20000 5 7
21000 5 7
22000 5 7
23000 5 7
24000 5 7
25000 5 7
26000 5 7
27000 5 7
28000 5 7
29000 6 9
30000 6 9
31000 6 9
32000 6 9
33000 6 9
34000 6 9
35000 6 9
36000 6 9
37000 6 9
38000 6 9
39000 6 9
40000 6 9
41000 6 9
42000 6 9
43000 6 9
44000 6 9
45000 6 9
46000 7 11
47000 7 11
48000 8 13
49000 8 13
50000 8 13
51000 8 13
52000 8 13
53000 8 13
54000 8 13
55000 8 13
56000 8 13
57000 8 13
58000 9 15
59000 9 15
60000 9 16
61000 9 16
62000 9 16
63000 9 16
64000 9 16
65000 9 16
66000 9 16
67000 9 16
68000 9 16
69000 9 16
70000 9 16
71000 9 16
72000 9 16
73000 9 16
74000 10 18
75000 10 18
76000 10 18
77000 10 18
78000 10 18
79000 10 18
80000 10 18
81000 10 18
82000 10 18
83000 10 18
84000 10 18
85000 10 18
86000 10 18
87000 10 18
88000 10 18
89000 11 20
90000 11 20
91000 12 22
92000 12 22
93000 12 22
94000 12 22
95000 12 22
96000 12 22
97000 12 22
98000 12 22
99000 12 22
100000 12 22
101000 12 22
102000 12 22
103000 12 22
104000 12 22
105000 12 22
106000 12 22
107000 13 24
108000 13 24
109000 13 24
110000 13 24
111000 13 24
112000 13 24
113000 13 24
114000 13 24
115000 13 24
116000 15 28
117000 15 28
118000 15 28
119000 15 29
120000 15 29
121000 15 29
122000 15 29
123000 16 31
124000 14 27
125000 14 28
126000 14 28
127000 14 28
128000 14 28
129000 14 28
130000 14 28
131000 14 28
132000 14 28
133000 14 28
134000 14 28
135000 14 28
136000 14 28
137000 14 28
138000 14 28
139000 14 28
140000 14 28
141000 14 28
142000 14 28
143000 15 30
144000 15 30
145000 15 30
146000 15 30
147000 15 30
148000 15 30
149000 15 30
150000 15 30
151000 15 30
152000 15 30
153000 15 30
154000 15 30
155000 15 30
156000 15 30
157000 15 30
158000 15 30
159000 16 32
160000 16 32
161000 16 32
162000 16 32
163000 16 32
164000 15 30
165000 15 30
166000 15 30
167000 16 32
168000 17 34
169000 17 34
170000 17 34
171000 18 36
172000 18 36
173000 18 36
174000 18 36
175000 18 36
176000 18 36
177000 18 36
178000 18 36
179000 19 39
180000 19 39
181000 20 42
182000 20 42
183000 20 42
184000 20 42
185000 20 42
186000 20 42
187000 20 42
188000 20 42
189000 20 43
190000 20 43
191000 20 43
192000 20 43
193000 20 43
194000 20 43
195000 21 45
196000 21 44
197000 21 44
198000 21 44
199000 21 44
200000 21 44
201000 21 44
202000 21 44
203000 21 44
204000 21 45
205000 21 45
206000 21 45
207000 21 45
208000 21 45
209000 21 45
210000 21 45
211000 21 45
212000 21 45
213000 21 45
214000 22 47
215000 22 47
216000 22 47
217000 22 47
218000 22 47
219000 22 47
220000 22 47
221000 23 50
222000 23 50
223000 23 50
224000 23 50
225000 23 50
226000 23 50
227000 23 50
228000 23 50
229000 23 50
230000 23 50
231000 23 50
232000 26 56
233000 26 57
234000 26 57
235000 27 59
236000 27 59
237000 27 59
238000 27 59
239000 27 60
240000 27 60
241000 27 60
242000 27 61
243000 27 61
244000 27 61
245000 27 61
246000 26 60
247000 27 62
248000 27 63
249000 27 63
250000 27 63
251000 27 63
252000 27 63
253000 27 63
254000 27 63
255000 28 65
256000 28 66
257000 28 66
258000 28 66
259000 28 66
260000 28 66
261000 28 67
262000 28 67
263000 28 67
264000 28 67
265000 28 67
266000 28 67
267000 30 71
268000 30 71
269000 30 71
270000 30 72
271000 30 73
272000 30 73
273000 30 73
274000 30 74
275000 30 74
276000 30 74
277000 31 76
278000 32 78
279000 32 78
280000 32 78
281000 32 78
282000 32 78
283000 32 78
284000 32 78
285000 32 78
286000 32 79
287000 32 79
288000 32 79
289000 32 79
290000 32 79
291000 32 79
292000 32 79
293000 32 79
294000 32 79
295000 32 79
296000 32 79
297000 32 79
298000 33 82
299000 33 82
300000 33 82
301000 33 82
302000 33 82
303000 33 82
304000 34 84
305000 34 84
306000 34 84
307000 35 86
308000 35 86
309000 35 86
310000 35 87
311000 35 87
312000 35 87
313000 35 87
314000 35 87
315000 35 88
316000 36 90
317000 36 91
318000 36 92
319000 36 92
320000 36 92
321000 36 92
322000 37 94
323000 37 94
324000 37 94
325000 38 96
326000 38 96
327000 39 99
328000 39 99
329000 39 99
330000 39 99
331000 39 99
332000 39 100
333000 39 100
334000 38 98
335000 38 98
336000 38 98
337000 38 98
338000 38 98
339000 38 98
340000 38 98
341000 39 100
342000 39 101
343000 39 102
344000 39 102
345000 39 102
346000 39 102
347000 39 102
348000 39 102
349000 39 102
350000 40 104
351000 39 102
352000 39 103
353000 39 103
354000 39 103
355000 39 103
356000 39 103
357000 39 103
358000 39 103
359000 39 103
360000 40 105
361000 40 105
362000 40 105
363000 40 105
364000 40 105
365000 40 105
366000 40 105
367000 40 105
368000 40 105
369000 41 107
370000 41 107
371000 41 107
372000 41 107
373000 41 107
374000 42 109
375000 42 109
376000 42 109
377000 42 109
378000 42 109
379000 42 109
380000 42 109
381000 42 110
382000 42 110
383000 42 110
384000 42 111
385000 42 111
386000 42 111
387000 42 111
388000 42 111
389000 42 111
390000 42 111
391000 42 111
392000 42 112
393000 42 113
394000 42 113
395000 42 114
396000 42 114
397000 42 114
398000 42 114
399000 42 114
400000 42 114
401000 42 114
402000 42 114
403000 42 114
404000 42 114
405000 41 115
406000 41 115
407000 41 115
408000 41 115
409000 41 115
410000 41 115
411000 41 115
412000 41 115
413000 41 115
414000 41 115
415000 41 115
416000 41 115
417000 41 115
418000 41 115
419000 41 115
420000 41 115
421000 42 117
422000 42 117
423000 42 117
424000 42 117
425000 42 117
426000 42 117
427000 42 117
428000 42 118
429000 42 118
430000 42 118
431000 42 118
432000 42 119
433000 42 119
434000 42 120
435000 42 120
436000 42 120
437000 42 120
438000 42 120
439000 42 120
440000 42 120
441000 42 120
442000 42 120
443000 42 120
444000 42 120
445000 42 120
446000 42 120
447000 42 120
448000 42 120
449000 42 120
450000 42 120
451000 42 120
452000 42 120
453000 42 120
454000 42 120
455000 42 120
456000 42 120
457000 42 120
458000 42 120
459000 42 120
460000 42 120
461000 42 120
462000 42 120
463000 42 120
464000 42 120
465000 42 120
466000 42 120
467000 42 120
468000 42 120
469000 42 120
470000 42 120
471000 42 120
472000 42 120
473000 42 120
474000 42 120
475000 42 120
476000 42 120
477000 42 120
478000 42 120
479000 42 120
480000 42 120
481000 42 120
482000 42 120
483000 42 120
484000 42 120
485000 42 120
486000 42 120
487000 42 120
488000 42 120
489000 42 120
490000 42 120
491000 42 120
492000 42 120
493000 42 120
494000 42 120
495000 42 120
496000 42 120
497000 42 120
498000 42 120
499000 42 120
500000 42 120
501000 42 120
502000 42 120
503000 42 120
504000 42 120
505000 42 120
506000 42 120
507000 42 120
508000 42 120
509000 42 120
510000 42 120
511000 42 120
512000 42 120
513000 42 120
514000 42 120
515000 42 120
516000 42 120
517000 42 120
518000 42 120
519000 42 120
520000 42 120
521000 42 120
522000 42 120
523000 42 120
524000 42 120
525000 42 120
526000 42 120
527000 42 120
528000 42 120
529000 42 120
530000 42 120
531000 42 120
532000 42 120
533000 42 120
