# sweep Nv Ne
0 3 3
1000 3 3
2000 3 3
3000 3 3
4000 3 3
5000 3 3
6000 3 3
7000 3 3
8000 3 3
9000 3 3
10000 3 3
11000 3 3
12000 3 3
13000 3 3
14000 3 3
15000 3 3
16000 3 3
17000 3 3
18000 3 3
19000 3 3
20000 3 3
21000 3 3
22000 3 3
23000 3 3
24000 3 3
25000 3 3
26000 3 3
27000 3 3
28000 3 3
29000 3 3
30000 3 3
31000 3 3
32000 3 3
33000 3 3
34000 3 3
35000 3 3
36000 4 5
37000 4 5
38000 4 5
39000 4 5
40000 4 5
41000 4 5
42000 4 5
43000 4 5
44000 5 7
45000 5 7
46000 5 7
47000 6 9
48000 6 9
49000 6 9
50000 6 9
51000 6 9
52000 6 9
53000 6 9
54000 6 9
55000 6 9
56000 6 9
57000 6 9
58000 6 9
59000 6 9
60000 6 9
61000 6 9
62000 6 9
63000 6 9
64000 6 9
65000 6 9
66000 6 9
67000 6 9
68000 7 11
69000 7 11
70000 7 11
71000 7 11
72000 7 11
73000 7 11
74000 7 11
75000 8 13
76000 9 15
77000 9 16
78000 9 16
79000 9 16
80000 9 16
81000 9 16
82000 9 16
83000 9 16
84000 9 16
85000 9 16
86000 9 16
87000 9 16
88000 9 16
89000 9 16
90000 9 16
91000 9 16
92000 9 16
93000 9 16
94000 9 16
95000 9 16
96000 9 16
97000 9 16
98000 9 16
99000 9 16
100000 9 16
101000 9 16
102000 10 18
103000 10 18
104000 10 19
105000 10 19
106000 13 25
107000 13 25
108000 13 25
109000 13 25
110000 13 25
111000 13 25
112000 13 25
113000 13 25
114000 13 25
115000 14 27
116000 14 27
117000 15 29
118000 15 29
119000 15 29
120000 15 29
121000 15 29
122000 15 30
123000 15 30
124000 15 30
125000 15 30
126000 15 30
127000 15 30
128000 15 30
129000 15 30
130000 15 30
131000 15 30
132000 15 30
133000 15 30
134000 16 32
135000 16 32
136000 16 32
137000 16 32
138000 17 34
139000 17 34
140000 17 34
141000 18 36
142000 18 36
143000 18 36
144000 18 37
145000 18 37
146000 18 37
147000 18 38
148000 18 38
149000 18 38
150000 18 38
151000 18 38
152000 18 38
153000 18 38
154000 18 38
155000 18 38
156000 18 39
157000 18 39
158000 18 39
159000 18 39
160000 18 39
161000 18 39
162000 18 39
163000 18 39
164000 18 40
165000 18 40
166000 18 40
167000 18 40
168000 18 40
169000 18 40
170000 18 40
171000 18 40
172000 18 40
173000 18 40
174000 18 40
175000 18 40
176000 18 40
177000 18 40
178000 18 40
179000 18 40
180000 18 40
181000 18 40
182000 19 42
183000 19 43
184000 19 43
185000 19 43
186000 19 43
187000 19 43
188000 19 43
189000 20 45
190000 20 45
191000 20 45
192000 20 45
193000 20 45
194000 20 45
195000 20 45
196000 20 45
197000 20 45
198000 20 45
199000 20 45
200000 20 45
201000 20 45
202000 20 45
203000 20 45
204000 20 45
205000 20 45
206000 20 45
207000 21 47
208000 21 47
209000 21 47
210000 23 51
211000 23 51
212000 23 51
213000 23 52
214000 23 52
215000 23 53
216000 23 53
217000 23 54
218000 23 54
219000 23 54
220000 23 54
221000 23 54
222000 23 54
223000 23 54
224000 23 54
225000 24 56
226000 24 56
227000 24 56
228000 24 56
229000 24 56
230000 24 56
231000 24 56
232000 24 56
233000 24 56
234000 25 58
235000 26 60
236000 27 62
237000 27 63
238000 27 64
239000 27 64
240000 27 64
241000 28 66
242000 28 66
243000 28 66
244000 28 66
245000 28 66
246000 28 67
247000 28 67
248000 28 67
249000 28 67
250000 28 67
251000 28 67
252000 28 68
253000 28 69
254000 28 69
255000 28 69
256000 28 69
257000 28 69
258000 28 69
259000 28 69
260000 28 69
261000 28 69
262000 29 72
263000 29 72
264000 29 72
265000 29 72
266000 29 72
267000 29 72
268000 29 72
269000 29 72
270000 29 72
271000 29 72
272000 29 73
273000 29 73
274000 29 73
275000 29 73
276000 29 73
277000 29 73
278000 29 73
279000 29 73
280000 29 73
281000 29 73
282000 29 73
283000 29 73
284000 29 73
285000 29 73
286000 29 75
287000 29 75
288000 29 75
289000 29 75
290000 29 75
291000 29 75
292000 29 75
293000 29 75
294000 29 75
295000 29 75
296000 29 75
297000 29 75
298000 30 77
299000 30 77
300000 30 77
301000 30 78
302000 30 78
303000 30 78
304000 30 78
305000 30 78
306000 30 78
307000 30 78
308000 30 78
309000 30 78
310000 30 78
311000 30 79
312000 30 79
313000 30 79
314000 30 79
315000 30 79
316000 30 79
317000 31 81
318000 31 81
319000 31 82
320000 31 82
321000 31 82
322000 31 82
323000 31 82
324000 31 82
325000 32 84
326000 32 85
327000 32 85
328000 32 85
329000 32 85
330000 32 85
331000 32 85
332000 32 86
333000 32 86
334000 32 86
335000 32 86
336000 32 86
337000 32 86
338000 32 86
339000 32 86
340000 32 87
341000 32 87
342000 32 87
343000 32 87
344000 32 87
345000 32 87
346000 32 87
347000 32 88
348000 32 88
349000 32 88
350000 32 88
351000 32 88
352000 32 88
353000 32 88
354000 32 88
355000 32 89
356000 32 89
357000 32 89
358000 32 89
359000 32 89
360000 32 89
361000 32 89
362000 32 89
363000 32 89
364000 32 89
365000 32 89
366000 32 89
367000 32 89
368000 32 89
369000 32 89
370000 32 90
371000 32 90
372000 32 90
373000 32 90
374000 32 90
375000 32 90
376000 32 90
377000 32 90
378000 32 90
379000 32 90
380000 32 90
381000 32 90
382000 32 90
383000 32 90
384000 32 90
385000 32 90
386000 32 90
387000 32 90
388000 32 90
389000 32 90
390000 32 90
391000 32 90
392000 32 90
393000 32 90
394000 32 90
395000 32 90
396000 32 90
397000 32 90
398000 32 90
399000 32 90
400000 32 90
401000 32 90
402000 32 90
403000 32 90
404000 32 90
405000 32 90
406000 32 90
407000 32 90
408000 32 90
409000 32 90
410000 32 90
411000 32 90
412000 32 90
413000 32 90
414000 32 90
415000 32 90
416000 32 90
417000 32 90
418000 32 90
419000 32 90
420000 32 90
421000 32 90
422000 32 90
423000 32 90
424000 32 90
425000 32 90
426000 32 90
427000 32 90
428000 32 90
429000 32 90
430000 32 90
431000 32 90
432000 32 90
433000 32 90
434000 32 90
435000 32 90
436000 32 90
437000 32 90
438000 32 90
439000 32 90
440000 32 90
441000 32 90
442000 32 90
443000 32 90
444000 32 90
445000 32 90
446000 32 90
447000 32 90
448000 32 90
449000 32 90
450000 32 90
451000 32 90
452000 32 90
453000 32 90
454000 32 90
455000 32 90
456000 32 90
457000 32 90
458000 32 90
459000 32 90
460000 32 90
461000 32 90
462000 32 90
463000 32 90
464000 32 90
465000 32 90
466000 32 90
467000 32 90
468000 32 90
469000 32 90
