# sweep Nv Ne
0 3 3
1000 3 3
2000 3 3
3000 3 3
4000 3 3
5000 3 3
6000 3 3
7000 3 3
8000 3 3
9000 3 3
10000 3 3
11000 3 3
12000 3 3
13000 3 3
14000 3 3
15000 3 3
16000 3 3
17000 3 3
18000 3 3
19000 3 3
20000 3 3
21000 3 3
22000 3 3
23000 3 3
24000 3 3
25000 3 3
26000 4 5
27000 4 5
28000 4 5
29000 4 5
30000 4 5
31000 4 5
32000 4 5
33000 3 3
34000 3 3
35000 3 3
36000 3 3
37000 3 3
38000 3 3
39000 3 3
40000 3 3
41000 3 3
42000 3 3
43000 3 3
44000 3 3
45000 3 3
46000 3 3
47000 3 3
48000 3 3
49000 3 3
50000 3 3
51000 3 3
52000 3 3
53000 3 3
54000 3 3
55000 3 3
56000 3 3
57000 3 3
58000 3 3
59000 3 3
60000 3 3
61000 3 3
62000 3 3
63000 3 3
64000 3 3
65000 3 3
66000 3 3
67000 3 3
68000 3 3
69000 3 3
70000 3 3
71000 3 3
72000 3 3
73000 3 3
74000 3 3
75000 3 3
76000 3 3
77000 3 3
78000 3 3
79000 3 3
80000 3 3
81000 3 3
82000 3 3
83000 3 3
84000 3 3
85000 3 3
86000 3 3
87000 3 3
88000 3 3
89000 3 3
90000 3 3
91000 3 3
92000 3 3
93000 3 3
94000 3 3
95000 3 3
96000 3 3
97000 3 3
98000 3 3
99000 3 3
100000 3 3
101000 3 3
102000 3 3
103000 3 3
104000 3 3
105000 3 3
106000 3 3
107000 3 3
108000 3 3
109000 3 3
110000 3 3
111000 3 3
112000 3 3
113000 3 3
114000 3 3
115000 3 3
116000 3 3
117000 3 3
118000 3 3
119000 3 3
120000 3 3
121000 3 3
122000 3 3
123000 3 3
124000 3 3
125000 3 3
126000 3 3
127000 3 3
128000 3 3
129000 3 3
130000 3 3
131000 3 3
132000 3 3
133000 3 3
134000 3 3
135000 3 3
136000 3 3
137000 3 3
138000 3 3
139000 3 3
140000 3 3
141000 3 3
142000 3 3
143000 3 3
144000 3 3
145000 3 3
146000 3 3
147000 3 3
148000 3 3
149000 3 3
150000 3 3
151000 3 3
152000 3 3
153000 4 5
154000 4 5
155000 4 5
156000 4 5
157000 4 5
158000 4 5
159000 4 5
160000 4 5
161000 4 5
162000 4 5
163000 4 5
164000 4 5
165000 4 5
166000 4 5
167000 4 5
168000 4 5
169000 4 5
170000 4 5
171000 4 5
172000 4 5
173000 5 7
174000 5 7
175000 5 7
176000 5 7
177000 5 7
178000 5 7
179000 5 7
180000 5 7
181000 5 7
182000 5 7
183000 5 7
184000 5 7
185000 5 7
186000 6 9
187000 6 9
188000 6 9
189000 6 9
190000 6 9
191000 6 9
192000 6 9
193000 6 9
194000 6 9
195000 6 9
196000 6 9
197000 6 9
198000 5 7
199000 5 7
200000 5 7
201000 5 7
202000 5 7
203000 6 9
204000 6 9
205000 6 9
206000 6 9
207000 6 9
208000 6 9
209000 6 9
210000 6 9
211000 6 9
212000 6 9
213000 6 9
214000 7 11
215000 7 12
216000 7 12
217000 7 12
218000 7 12
219000 7 12
220000 7 12
221000 7 12
222000 7 12
223000 7 12
224000 7 12
225000 7 12
226000 7 12
227000 7 12
228000 7 12
229000 7 12
230000 7 12
231000 7 12
232000 7 12
233000 7 12
234000 7 12
235000 7 12
236000 7 12
237000 7 12
238000 7 12
239000 7 12
240000 7 12
241000 7 12
242000 7 12
243000 7 12
244000 7 12
245000 7 12
246000 7 12
247000 7 12
248000 7 12
249000 7 12
250000 8 14
251000 8 14
252000 8 14
253000 8 14
254000 8 14
255000 8 14
256000 8 14
257000 8 14
258000 8 14
259000 8 14
260000 8 14
261000 8 14
262000 8 14
263000 8 14
264000 8 14
265000 8 14
266000 7 12
267000 7 12
268000 7 12
269000 7 12
270000 7 12
271000 7 12
272000 8 14
273000 8 14
274000 8 14
275000 7 12
276000 7 12
277000 7 12
278000 7 12
279000 7 12
280000 7 12
281000 7 12
282000 7 12
283000 7 12
284000 7 12
285000 7 12
286000 7 12
287000 7 12
288000 8 14
289000 8 14
290000 8 14
291000 8 14
292000 8 14
293000 8 14
294000 8 14
295000 8 14
296000 7 12
297000 8 14
298000 8 14
299000 8 14
300000 8 14
301000 8 14
302000 8 14
303000 8 14
304000 7 12
305000 7 12
306000 7 12
307000 7 12
308000 7 12
309000 8 14
310000 7 12
311000 7 12
312000 7 12
313000 7 12
314000 7 12
315000 7 12
316000 7 12
317000 7 12
318000 7 12
319000 7 12
320000 7 12
321000 7 12
322000 7 12
323000 7 12
324000 7 12
325000 7 12
326000 7 12
327000 7 12
328000 7 12
329000 7 12
330000 7 12
331000 7 12
332000 7 12
333000 7 12
334000 7 12
335000 7 12
336000 7 12
337000 7 12
338000 7 12
339000 7 12
340000 7 12
341000 8 14
342000 8 14
343000 8 14
344000 8 14
345000 8 14
346000 8 14
347000 8 14
348000 8 14
349000 8 14
350000 8 14
351000 8 14
352000 8 14
353000 8 14
354000 8 14
355000 8 14
356000 8 14
357000 8 14
358000 8 14
359000 8 14
360000 8 14
361000 8 14
362000 8 14
363000 8 14
364000 8 14
365000 8 14
366000 7 12
367000 7 12
368000 7 12
369000 7 12
370000 7 12
371000 7 12
372000 7 12
373000 7 12
374000 7 12
375000 8 14
376000 9 16
377000 9 16
378000 10 18
379000 10 18
380000 10 18
381000 10 18
382000 10 18
383000 10 18
384000 10 18
385000 10 18
386000 10 18
387000 10 18
388000 10 18
389000 10 18
390000 10 18
391000 10 18
392000 11 20
393000 12 23
394000 12 23
395000 12 23
396000 11 21
397000 11 21
398000 11 21
399000 11 21
400000 11 21
401000 11 21
402000 11 21
403000 11 21
404000 11 21
405000 11 21
406000 11 21
407000 11 21
408000 13 25
409000 13 25
410000 13 25
411000 13 26
412000 13 25
413000 13 25
414000 13 25
415000 13 25
416000 13 25
417000 13 25
418000 13 25
419000 13 25
420000 14 28
421000 14 28
422000 15 30
423000 15 30
424000 15 30
425000 15 30
426000 15 30
427000 15 30
428000 15 30
429000 15 29
430000 15 29
431000 15 29
432000 15 29
433000 15 30
434000 15 30
435000 15 30
436000 15 30
437000 15 30
438000 15 30
439000 15 30
440000 15 30
441000 15 30
442000 15 30
443000 15 30
444000 15 30
445000 16 32
446000 16 32
447000 16 32
448000 16 32
449000 16 32
450000 16 32
451000 16 32
452000 16 32
453000 16 32
454000 16 32
455000 16 32
456000 17 34
457000 17 34
458000 17 34
459000 18 36
460000 18 37
461000 18 38
462000 18 38
463000 18 38
464000 18 38
465000 19 41
466000 19 41
467000 19 41
468000 19 42
469000 19 41
470000 19 42
471000 19 43
472000 19 43
473000 19 43
474000 19 43
475000 19 43
476000 19 43
477000 19 43
478000 19 43
479000 19 43
480000 19 43
481000 19 43
482000 19 43
483000 19 43
484000 19 43
485000 19 43
486000 19 43
487000 20 45
488000 19 43
489000 19 43
490000 19 43
491000 20 45
492000 20 45
493000 20 46
494000 20 46
495000 20 46
496000 21 48
497000 21 48
498000 21 48
499000 21 48
500000 21 48
501000 21 48
502000 21 48
503000 21 48
504000 21 48
505000 21 47
506000 21 47
507000 21 47
508000 22 50
509000 20 46
510000 20 46
511000 20 46
512000 20 46
513000 20 46
514000 21 48
515000 21 48
516000 21 48
517000 21 48
518000 21 48
519000 21 48
520000 21 48
521000 21 48
522000 21 48
523000 22 50
524000 22 50
525000 22 50
526000 22 50
527000 22 50
528000 22 50
529000 22 50
530000 21 48
531000 21 48
532000 21 48
533000 22 50
534000 22 50
535000 22 50
536000 22 50
537000 22 50
538000 22 50
539000 22 51
540000 23 54
541000 23 54
542000 23 54
543000 23 54
544000 23 54
545000 23 54
546000 23 54
547000 23 54
548000 23 54
549000 23 54
550000 23 54
551000 23 54
552000 23 54
553000 23 54
554000 23 54
555000 23 54
556000 23 54
557000 23 54
558000 23 54
559000 23 54
560000 23 54
561000 23 54
562000 23 54
563000 23 54
564000 23 54
565000 23 54
566000 23 54
567000 23 54
568000 23 54
569000 23 54
570000 23 54
571000 23 54
572000 23 54
573000 23 54
574000 23 54
575000 24 56
576000 24 56
577000 25 58
578000 25 58
579000 24 56
580000 24 56
581000 25 58
582000 25 58
583000 25 58
584000 25 58
585000 25 59
586000 25 59
587000 26 61
588000 26 61
589000 25 59
590000 25 59
591000 25 59
592000 25 59
593000 25 59
594000 26 61
595000 26 61
596000 26 61
597000 27 63
598000 27 63
599000 27 63
600000 26 61
601000 26 61
602000 26 61
603000 26 61
604000 26 61
605000 26 61
606000 26 61
607000 26 61
608000 26 61
609000 26 61
610000 26 61
611000 26 61
612000 26 62
613000 27 64
614000 27 64
615000 27 65
616000 27 65
617000 27 65
618000 27 64
619000 27 64
620000 27 64
621000 27 64
622000 27 65
623000 27 65
624000 27 64
625000 27 64
626000 27 64
627000 27 64
628000 27 64
629000 27 64
630000 27 64
631000 27 64
632000 27 64
633000 27 64
634000 27 64
635000 27 64
636000 27 64
637000 27 65
638000 27 65
639000 27 65
640000 27 65
641000 27 65
642000 27 65
643000 27 65
644000 28 67
645000 28 67
646000 28 67
647000 28 67
648000 28 67
