# sweep Nv Ne
0 3 3
1000 3 3
2000 3 3
3000 3 3
4000 3 3
5000 3 3
6000 3 3
7000 3 3
8000 3 3
9000 3 3
10000 3 3
11000 3 3
12000 3 3
13000 3 3
14000 3 3
15000 3 3
16000 3 3
17000 3 3
18000 3 3
19000 3 3
20000 3 3
21000 3 3
22000 3 3
23000 3 3
24000 3 3
25000 3 3
26000 3 3
27000 3 3
28000 3 3
29000 3 3
30000 3 3
31000 3 3
32000 3 3
33000 3 3
34000 3 3
35000 3 3
36000 3 3
37000 3 3
38000 3 3
39000 3 3
40000 3 3
41000 3 3
42000 3 3
43000 3 3
44000 3 3
45000 3 3
46000 3 3
47000 3 3
48000 3 3
49000 3 3
50000 3 3
51000 3 3
52000 3 3
53000 3 3
54000 3 3
55000 3 3
56000 3 3
57000 3 3
58000 3 3
59000 3 3
60000 3 3
61000 3 3
62000 3 3
63000 3 3
64000 3 3
65000 3 3
66000 3 3
67000 3 3
68000 3 3
69000 3 3
70000 3 3
71000 3 3
72000 3 3
73000 3 3
74000 3 3
75000 3 3
76000 3 3
77000 3 3
78000 3 3
79000 3 3
80000 3 3
81000 3 3
82000 3 3
83000 3 3
84000 3 3
85000 3 3
86000 3 3
87000 3 3
88000 3 3
89000 3 3
90000 4 5
91000 4 5
92000 4 5
93000 4 5
94000 3 3
95000 3 3
96000 3 3
97000 3 3
98000 3 3
99000 3 3
100000 3 3
101000 3 3
102000 3 3
103000 3 3
104000 3 3
105000 3 3
106000 3 3
107000 3 3
108000 3 3
109000 3 3
110000 4 5
111000 4 5
112000 4 5
113000 4 5
114000 4 5
115000 4 5
116000 4 5
117000 4 5
118000 4 5
119000 4 5
120000 4 5
121000 4 5
122000 4 5
123000 4 5
124000 4 5
125000 4 5
126000 4 5
127000 4 5
128000 4 5
129000 4 5
130000 4 5
131000 4 5
132000 5 7
133000 5 7
134000 5 7
135000 5 7
136000 5 7
137000 5 7
138000 5 7
139000 5 7
140000 5 7
141000 5 7
142000 5 7
143000 5 7
144000 5 7
145000 5 7
146000 5 7
147000 5 7
148000 5 7
149000 5 7
150000 5 7
151000 5 7
152000 5 7
153000 6 9
154000 6 9
155000 6 9
156000 6 9
157000 7 11
158000 7 12
159000 7 12
160000 7 12
161000 7 12
162000 7 12
163000 7 12
164000 7 12
165000 7 12
166000 7 12
167000 7 12
168000 7 12
169000 7 12
170000 7 12
171000 7 12
172000 7 12
173000 7 12
174000 7 12
175000 7 12
176000 7 12
177000 7 12
178000 8 14
179000 8 14
180000 7 12
181000 7 12
182000 7 12
183000 7 12
184000 7 12
185000 7 12
186000 7 12
187000 7 12
188000 7 12
189000 7 12
190000 7 12
191000 7 12
192000 7 12
193000 7 12
194000 7 12
195000 7 12
196000 7 12
197000 7 12
198000 7 12
199000 7 12
200000 7 12
201000 7 12
202000 7 12
203000 7 12
204000 7 12
205000 7 12
206000 7 12
207000 6 10
208000 7 12
209000 7 12
210000 6 10
211000 7 12
212000 7 12
213000 7 12
214000 7 12
215000 7 12
216000 7 12
217000 7 12
218000 7 12
219000 7 12
220000 7 12
221000 7 12
222000 7 12
223000 7 12
224000 7 12
225000 7 12
226000 7 12
227000 7 12
228000 7 12
229000 7 12
230000 7 12
231000 7 12
232000 7 12
233000 7 12
234000 7 12
235000 7 12
236000 7 12
237000 7 12
238000 7 12
239000 7 12
240000 7 12
241000 7 12
242000 7 12
243000 7 12
244000 7 12
245000 7 12
246000 7 12
247000 7 12
248000 7 12
249000 7 12
250000 7 12
251000 7 12
252000 7 12
253000 7 12
254000 7 12
255000 7 12
256000 7 12
257000 7 12
258000 7 12
259000 7 12
260000 7 12
261000 7 12
262000 7 12
263000 7 12
264000 7 12
265000 7 12
266000 7 12
267000 7 12
268000 7 12
269000 7 12
270000 7 12
271000 7 12
272000 7 12
273000 7 12
274000 7 12
275000 7 12
276000 7 12
277000 7 12
278000 7 12
279000 8 14
280000 9 16
281000 9 16
282000 9 16
283000 8 14
284000 8 14
285000 8 14
286000 9 16
287000 9 16
288000 9 16
289000 9 16
290000 10 18
291000 10 18
292000 12 22
293000 12 22
294000 12 22
295000 12 22
296000 12 22
297000 12 22
298000 12 22
299000 12 22
300000 13 24
301000 13 24
302000 13 24
303000 13 24
304000 13 24
305000 13 24
306000 13 25
307000 14 27
308000 14 27
309000 14 27
310000 14 27
311000 14 27
312000 13 25
313000 13 25
314000 13 25
315000 13 25
316000 13 25
317000 13 25
318000 13 25
319000 13 25
320000 13 26
321000 13 26
322000 13 26
323000 13 26
324000 13 26
325000 13 26
326000 13 26
327000 13 26
328000 13 26
329000 13 26
330000 13 26
331000 13 25
332000 13 26
333000 13 26
334000 13 26
335000 13 26
336000 13 25
337000 13 25
338000 13 25
339000 13 25
340000 13 25
341000 13 26
342000 13 26
343000 13 26
344000 13 26
345000 13 26
346000 13 26
347000 13 26
348000 13 26
349000 13 26
350000 13 26
351000 13 26
352000 12 24
353000 12 24
354000 12 23
355000 12 23
356000 12 23
357000 12 23
358000 12 23
359000 12 23
360000 12 23
361000 12 23
362000 12 23
363000 12 23
364000 12 23
365000 12 23
366000 12 23
367000 12 23
368000 12 23
369000 12 23
370000 12 23
371000 12 23
372000 12 23
373000 12 23
374000 12 23
375000 12 23
376000 12 23
377000 12 22
378000 12 22
379000 12 23
380000 12 23
381000 12 23
382000 12 23
383000 12 23
384000 12 23
385000 12 23
386000 12 23
387000 12 24
388000 12 24
389000 12 24
390000 11 22
391000 11 22
392000 11 22
393000 11 22
394000 11 22
395000 12 24
396000 12 24
397000 12 24
398000 12 23
399000 12 23
400000 12 23
401000 12 23
402000 12 23
403000 13 25
404000 13 25
405000 13 25
406000 13 25
407000 13 24
408000 14 26
409000 14 27
410000 14 27
411000 14 27
412000 14 27
413000 13 25
414000 13 25
415000 13 25
416000 13 25
417000 13 25
418000 13 26
419000 13 26
420000 13 26
421000 13 26
422000 13 26
423000 13 26
424000 13 26
425000 13 26
426000 13 26
427000 13 26
428000 13 26
429000 13 26
430000 13 26
431000 13 26
432000 13 26
433000 13 26
434000 13 26
435000 14 28
436000 14 28
437000 14 28
438000 14 28
439000 14 28
440000 14 28
441000 14 28
442000 14 28
443000 14 28
444000 14 28
445000 14 28
446000 14 28
447000 13 26
448000 13 26
449000 13 26
450000 13 26
451000 13 26
452000 13 26
453000 14 27
454000 14 28
455000 14 28
456000 14 28
457000 15 30
458000 15 30
459000 15 30
460000 15 30
461000 15 29
462000 15 29
463000 15 29
464000 15 29
465000 15 29
466000 16 31
467000 16 31
468000 16 32
469000 16 33
470000 16 33
471000 17 35
472000 17 35
473000 18 37
474000 19 40
475000 19 40
476000 19 40
477000 19 40
478000 19 40
479000 19 40
480000 19 40
481000 19 40
482000 19 40
483000 19 40
484000 19 40
485000 19 40
486000 19 40
487000 19 40
488000 20 42
489000 20 42
490000 20 42
491000 20 42
492000 20 42
493000 20 42
494000 21 43
495000 21 43
496000 21 44
497000 20 43
498000 20 43
499000 20 43
500000 21 46
501000 22 48
502000 22 49
503000 22 49
504000 22 49
505000 22 49
506000 22 49
507000 22 49
508000 21 47
509000 21 47
510000 21 47
511000 21 47
512000 22 49
513000 22 49
514000 22 49
515000 22 49
516000 22 49
517000 22 49
518000 22 49
519000 22 48
520000 22 48
521000 22 48
522000 22 48
523000 22 48
524000 23 50
525000 24 53
526000 24 52
527000 24 52
528000 24 52
529000 24 52
530000 24 52
531000 24 52
532000 24 53
533000 24 53
534000 24 53
535000 24 53
536000 24 53
537000 24 53
538000 24 53
539000 24 53
540000 25 56
541000 25 56
542000 25 56
543000 25 56
544000 25 56
545000 25 56
546000 25 56
547000 25 56
548000 26 58
549000 26 59
550000 27 61
551000 27 60
552000 27 60
553000 27 61
554000 27 62
555000 27 62
556000 27 62
557000 27 62
558000 27 63
559000 27 63
560000 27 63
561000 27 63
562000 27 63
563000 27 63
564000 28 65
565000 28 65
566000 28 65
567000 28 65
568000 28 65
569000 28 65
570000 28 65
571000 28 65
572000 28 65
573000 28 65
574000 28 65
575000 28 65
576000 28 65
577000 28 65
578000 28 65
579000 28 65
580000 28 65
581000 28 65
582000 28 65
583000 28 65
584000 28 65
585000 28 65
586000 28 65
587000 28 65
588000 28 65
589000 28 65
590000 28 65
591000 28 65
592000 28 65
593000 28 65
594000 28 65
595000 29 67
596000 30 69
597000 30 69
598000 30 69
599000 30 69
600000 30 69
601000 30 69
602000 30 69
603000 30 69
604000 30 70
605000 29 68
606000 29 68
607000 29 68
608000 29 68
609000 29 68
610000 29 68
611000 29 68
612000 29 68
613000 29 69
614000 29 69
615000 29 69
616000 29 69
617000 29 69
618000 30 71
619000 30 71
620000 30 71
621000 30 71
622000 30 71
623000 30 71
624000 30 71
625000 30 71
626000 30 71
627000 30 71
628000 30 71
629000 30 71
630000 30 71
631000 30 71
632000 30 71
633000 30 71
634000 30 71
635000 30 71
636000 30 71
637000 30 71
638000 30 71
639000 30 71
640000 30 71
641000 30 71
642000 30 71
643000 30 71
644000 30 71
645000 30 71
646000 30 71
647000 30 71
648000 30 71
