# sweep Nv Ne
0 3 3
1000 3 3
2000 3 3
3000 3 3
4000 3 3
5000 3 3
6000 4 5
7000 4 5
8000 4 5
9000 4 5
10000 4 5
11000 4 5
12000 4 5
13000 4 5
14000 4 5
15000 4 5
16000 4 5
17000 5 7
18000 5 7
19000 5 7
20000 5 7
21000 5 7
22000 5 7
23000 5 7
24000 5 7
25000 6 9
26000 6 9
27000 6 9
28000 6 9
29000 6 9
30000 6 9
31000 6 9
32000 6 9
33000 5 7
34000 5 7
35000 5 7
36000 5 7
37000 6 9
38000 6 9
39000 6 9
40000 6 9
41000 6 9
42000 6 9
43000 6 9
44000 6 9
45000 6 9
46000 6 9
47000 6 9
48000 6 9
49000 6 9
50000 7 11
51000 7 11
52000 7 11
53000 7 12
54000 7 12
55000 7 12
56000 7 12
57000 7 12
58000 7 12
59000 7 12
60000 7 12
61000 6 10
62000 6 10
63000 6 10
64000 6 10
65000 6 10
66000 6 10
67000 6 10
68000 6 10
69000 6 10
70000 6 10
71000 6 10
72000 6 10
73000 6 10
74000 7 12
75000 8 14
76000 9 16
77000 9 16
78000 9 16
79000 9 16
80000 8 14
81000 8 14
82000 8 14
83000 8 14
84000 8 14
85000 8 14
86000 8 14
87000 8 14
88000 8 14
89000 8 14
90000 8 14
91000 8 14
92000 8 14
93000 8 14
94000 8 14
95000 8 14
96000 8 14
97000 7 12
98000 7 12
99000 7 12
100000 7 12
101000 7 12
102000 7 12
103000 7 12
104000 7 12
105000 7 12
106000 8 14
107000 8 14
108000 8 14
109000 8 14
110000 8 14
111000 8 14
112000 8 14
113000 8 14
114000 8 14
115000 8 14
116000 8 14
117000 8 14
118000 8 14
119000 8 14
120000 8 14
121000 9 16
122000 9 16
123000 8 14
124000 8 14
125000 8 14
126000 8 14
127000 8 14
128000 8 14
129000 8 14
130000 8 14
131000 8 14
132000 8 14
133000 8 14
134000 8 14
135000 7 12
136000 7 12
137000 7 12
138000 7 12
139000 7 12
140000 7 12
141000 7 12
142000 7 12
143000 7 12
144000 7 12
145000 7 12
146000 7 12
147000 7 12
148000 7 12
149000 7 12
150000 7 12
151000 7 12
152000 7 12
153000 7 12
154000 7 12
155000 8 14
156000 8 14
157000 8 14
158000 8 14
159000 8 14
160000 8 14
161000 8 14
162000 8 14
163000 8 14
164000 8 14
165000 8 14
166000 8 14
167000 8 14
168000 8 14
169000 8 14
170000 8 14
171000 8 14
172000 8 14
173000 8 14
174000 8 14
175000 8 14
176000 8 14
177000 8 14
178000 8 14
179000 8 14
180000 8 14
181000 8 14
182000 8 14
183000 8 14
184000 8 14
185000 8 14
186000 8 14
187000 8 14
188000 8 14
189000 8 14
190000 8 14
191000 8 14
192000 8 14
193000 8 14
194000 8 14
195000 8 14
196000 8 14
197000 8 14
198000 8 14
199000 8 14
200000 8 14
201000 8 14
202000 8 14
203000 8 14
204000 8 14
205000 7 12
206000 7 12
207000 8 14
208000 8 14
209000 8 14
210000 8 14
211000 8 14
212000 8 14
213000 8 14
214000 8 14
215000 8 14
216000 7 12
217000 7 12
218000 7 12
219000 7 12
220000 7 12
221000 7 12
222000 7 12
223000 7 12
224000 7 12
225000 7 12
226000 7 12
227000 7 12
228000 7 12
229000 7 12
230000 7 12
231000 7 12
232000 7 12
233000 7 12
234000 7 12
235000 7 12
236000 7 12
237000 7 12
238000 7 12
239000 7 12
240000 7 12
241000 7 12
242000 7 12
243000 7 12
244000 7 12
245000 7 12
246000 7 12
247000 7 12
248000 7 12
249000 7 12
250000 7 12
251000 7 12
252000 7 12
253000 7 12
254000 7 12
255000 7 12
256000 7 12
257000 7 12
258000 7 12
259000 7 12
260000 7 12
261000 7 12
262000 7 12
263000 7 12
264000 7 12
265000 7 12
266000 7 12
267000 7 12
268000 7 12
269000 7 12
270000 7 12
271000 7 12
272000 7 12
273000 7 12
274000 7 12
275000 7 12
276000 7 12
277000 8 14
278000 8 14
279000 8 14
280000 8 14
281000 8 14
282000 8 14
283000 8 14
284000 8 14
285000 8 14
286000 9 16
287000 9 16
288000 9 16
289000 9 16
290000 9 16
291000 9 16
292000 9 16
293000 9 16
294000 9 16
295000 9 16
296000 9 16
297000 9 16
298000 9 16
299000 9 16
300000 9 16
301000 9 16
302000 9 16
303000 9 16
304000 9 16
305000 9 16
306000 9 16
307000 9 16
308000 9 16
309000 10 18
310000 10 18
311000 10 18
312000 10 18
313000 10 18
314000 9 16
315000 9 16
316000 9 16
317000 9 16
318000 9 16
319000 9 16
320000 9 16
321000 9 16
322000 9 16
323000 8 14
324000 8 14
325000 8 14
326000 8 14
327000 8 14
328000 8 14
329000 8 14
330000 8 14
331000 8 14
332000 8 14
333000 8 14
334000 9 16
335000 9 16
336000 9 16
337000 9 16
338000 9 16
339000 9 16
340000 9 16
341000 9 16
342000 8 14
343000 8 14
344000 8 14
345000 8 14
346000 8 14
347000 8 14
348000 8 14
349000 8 14
350000 8 14
351000 8 14
352000 8 14
353000 8 14
354000 8 14
355000 8 14
356000 8 14
357000 7 12
358000 7 12
359000 7 12
360000 8 14
361000 8 14
362000 8 14
363000 8 14
364000 8 14
365000 8 14
366000 8 14
367000 8 14
368000 8 14
369000 8 14
370000 8 14
371000 8 14
372000 7 12
373000 7 12
374000 7 12
375000 7 12
376000 7 12
377000 7 12
378000 7 12
379000 7 12
380000 7 12
381000 7 12
382000 7 12
383000 7 12
384000 7 12
385000 7 12
386000 7 12
387000 7 12
388000 7 12
389000 7 12
390000 7 12
391000 7 12
392000 7 12
393000 7 12
394000 7 12
395000 7 12
396000 7 12
397000 7 12
398000 7 12
399000 7 12
400000 7 12
401000 8 14
402000 8 14
403000 8 14
404000 8 14
405000 8 13
406000 8 13
407000 8 14
408000 9 16
409000 9 16
410000 9 16
411000 9 16
412000 9 16
413000 9 16
414000 9 16
415000 9 16
416000 9 16
417000 9 16
418000 9 16
419000 9 16
420000 9 16
421000 9 16
422000 9 16
423000 9 16
424000 9 16
425000 8 14
426000 8 14
427000 8 14
428000 8 14
429000 8 14
430000 8 14
431000 8 14
432000 8 14
433000 8 14
434000 8 14
435000 8 14
436000 8 14
437000 8 14
438000 8 14
439000 8 14
440000 8 14
441000 8 14
442000 8 14
443000 8 14
444000 8 14
445000 8 14
446000 8 14
447000 9 16
448000 9 16
449000 9 16
450000 9 16
451000 9 16
452000 9 16
453000 9 16
454000 9 16
455000 9 16
456000 9 16
457000 9 16
458000 9 16
459000 9 16
460000 9 16
461000 9 16
462000 9 16
463000 9 16
464000 9 16
465000 9 16
466000 9 16
467000 9 16
468000 9 16
469000 9 16
470000 10 18
471000 10 18
472000 10 18
473000 10 18
474000 10 18
475000 10 18
476000 10 18
477000 10 18
478000 10 18
479000 10 18
480000 10 18
481000 10 18
482000 10 18
483000 10 18
484000 10 18
485000 10 18
486000 10 18
487000 10 18
488000 10 18
489000 10 18
490000 10 18
491000 10 18
492000 10 18
493000 10 18
494000 10 18
495000 10 18
496000 10 18
497000 8 14
498000 8 14
499000 7 12
500000 7 12
501000 7 12
502000 7 12
503000 7 12
504000 7 12
505000 7 12
506000 7 12
507000 7 12
508000 7 12
509000 7 12
510000 7 12
511000 7 12
512000 7 12
513000 7 12
514000 7 12
515000 7 12
516000 7 12
517000 7 12
518000 7 12
519000 7 12
520000 7 12
521000 7 12
522000 8 14
523000 8 14
524000 8 14
525000 8 14
526000 9 16
527000 9 16
528000 9 16
529000 9 16
530000 8 14
531000 8 14
532000 8 14
533000 8 14
534000 8 14
535000 8 14
536000 8 14
537000 8 14
538000 8 14
539000 8 14
540000 8 14
541000 8 14
542000 8 14
543000 8 14
544000 8 14
545000 8 14
546000 8 14
547000 8 14
548000 8 14
549000 7 11
550000 7 11
551000 7 11
552000 7 12
553000 7 12
554000 7 12
555000 7 12
556000 7 12
557000 7 12
558000 7 12
559000 7 12
560000 7 12
561000 7 12
562000 7 12
563000 7 12
564000 7 12
565000 7 12
566000 7 12
567000 7 12
568000 7 12
569000 7 12
570000 7 12
571000 7 12
572000 7 12
573000 7 12
574000 7 12
575000 7 12
576000 7 12
577000 7 12
578000 7 12
579000 7 12
580000 7 12
581000 7 12
582000 7 12
583000 7 12
584000 7 12
585000 7 12
586000 7 12
587000 7 12
588000 7 12
589000 7 12
590000 7 12
591000 7 12
592000 7 12
593000 7 12
594000 7 12
595000 7 12
596000 7 12
597000 7 12
598000 7 12
599000 7 12
600000 7 12
601000 7 12
602000 7 12
603000 7 12
604000 7 12
605000 7 12
606000 7 12
607000 7 12
608000 7 12
609000 7 12
610000 7 12
611000 7 12
612000 7 12
613000 7 12
614000 7 12
615000 7 12
616000 7 12
617000 7 12
618000 7 12
619000 7 12
620000 8 14
621000 8 14
622000 8 14
623000 8 14
624000 8 14
625000 8 14
626000 8 14
627000 8 14
628000 8 14
629000 8 14
630000 8 14
631000 8 14
632000 8 14
633000 8 14
634000 8 14
635000 9 16
636000 9 16
637000 9 16
638000 9 16
639000 10 18
640000 10 18
641000 10 18
642000 9 16
643000 8 14
644000 8 14
645000 8 14
646000 8 14
647000 8 14
648000 8 14
