# sweep Nv Ne
0 3 3
1000 3 3
2000 3 3
3000 3 3
4000 3 3
5000 3 3
6000 3 3
7000 3 3
8000 3 3
9000 3 3
10000 3 3
11000 3 3
12000 3 3
13000 3 3
14000 3 3
15000 3 3
16000 3 3
17000 3 3
18000 3 3
19000 3 3
20000 3 3
21000 3 3
22000 3 3
23000 3 3
24000 3 3
25000 3 3
26000 3 3
27000 3 3
28000 3 3
29000 3 3
30000 3 3
31000 3 3
32000 3 3
33000 3 3
34000 3 3
35000 3 3
36000 3 3
37000 3 3
38000 3 3
39000 3 3
40000 3 3
41000 3 3
42000 3 3
43000 3 3
44000 3 3
45000 3 3
46000 3 3
47000 3 3
48000 3 3
49000 3 3
50000 3 3
51000 3 3
52000 3 3
53000 3 3
54000 3 3
55000 3 3
56000 3 3
57000 3 3
58000 3 3
59000 3 3
60000 3 3
61000 3 3
62000 3 3
63000 3 3
64000 3 3
65000 3 3
66000 3 3
67000 3 3
68000 3 3
69000 3 3
70000 3 3
71000 3 3
72000 3 3
73000 3 3
74000 3 3
75000 3 3
76000 3 3
77000 3 3
78000 3 3
79000 3 3
80000 3 3
81000 3 3
82000 3 3
83000 3 3
84000 3 3
85000 3 3
86000 3 3
87000 3 3
88000 3 3
89000 3 3
90000 3 3
91000 3 3
92000 3 3
93000 3 3
94000 3 3
95000 3 3
96000 3 3
97000 3 3
98000 3 3
99000 4 5
100000 4 5
101000 4 5
102000 4 5
103000 4 5
104000 4 5
105000 4 5
106000 4 5
107000 4 5
108000 4 5
109000 4 5
110000 4 5
111000 4 5
112000 4 5
113000 4 5
114000 4 5
115000 4 5
116000 4 5
117000 4 5
118000 4 5
119000 4 5
120000 4 5
121000 4 5
122000 4 5
123000 4 5
124000 4 5
125000 4 5
126000 4 5
127000 4 5
128000 4 5
129000 4 5
130000 4 5
131000 4 5
132000 5 7
133000 4 5
134000 4 5
135000 4 5
136000 4 5
137000 4 5
138000 4 5
139000 4 5
140000 4 5
141000 4 5
142000 4 5
143000 4 5
144000 4 5
145000 4 5
146000 4 5
147000 4 5
148000 4 5
149000 4 5
150000 4 5
151000 4 5
152000 4 5
153000 4 5
154000 5 7
155000 5 7
156000 5 7
157000 5 7
158000 5 7
159000 5 7
160000 5 7
161000 4 5
162000 4 5
163000 4 5
164000 4 5
165000 4 5
166000 4 5
167000 4 5
168000 5 7
169000 5 7
170000 5 7
171000 5 7
172000 4 5
173000 3 3
174000 3 3
175000 3 3
176000 3 3
177000 3 3
178000 3 3
179000 3 3
180000 3 3
181000 3 3
182000 3 3
183000 3 3
184000 3 3
185000 3 3
186000 3 3
187000 3 3
188000 3 3
189000 3 3
190000 3 3
191000 3 3
192000 3 3
193000 3 3
194000 3 3
195000 3 3
196000 3 3
197000 3 3
198000 3 3
199000 3 3
200000 3 3
201000 3 3
202000 3 3
203000 3 3
204000 3 3
205000 3 3
206000 3 3
207000 3 3
208000 3 3
209000 3 3
210000 3 3
211000 3 3
212000 3 3
213000 3 3
214000 3 3
215000 3 3
216000 3 3
217000 3 3
218000 3 3
219000 3 3
220000 3 3
221000 3 3
222000 3 3
223000 3 3
224000 4 5
225000 4 5
226000 4 5
227000 4 5
228000 4 5
229000 4 5
230000 4 5
231000 4 5
232000 4 5
233000 4 5
234000 4 5
235000 4 5
236000 4 5
237000 3 3
238000 3 3
239000 3 3
240000 3 3
241000 3 3
242000 3 3
243000 3 3
244000 3 3
245000 3 3
246000 3 3
247000 3 3
248000 3 3
249000 3 3
250000 3 3
251000 3 3
252000 3 3
253000 3 3
254000 3 3
255000 3 3
256000 4 5
257000 4 5
258000 4 5
259000 4 5
260000 4 5
261000 3 3
262000 3 3
263000 3 3
264000 3 3
265000 3 3
266000 3 3
267000 3 3
268000 3 3
269000 3 3
270000 4 5
271000 4 5
272000 4 5
273000 4 5
274000 4 5
275000 4 5
276000 4 5
277000 4 5
278000 4 5
279000 4 5
280000 4 5
281000 4 5
282000 4 5
283000 4 5
284000 4 5
285000 4 5
286000 4 5
287000 4 5
288000 4 5
289000 4 5
290000 4 5
291000 4 5
292000 4 5
293000 4 5
294000 4 5
295000 4 5
296000 4 5
297000 5 7
298000 5 7
299000 5 7
300000 5 7
301000 5 7
302000 6 9
303000 5 7
304000 6 9
305000 6 9
306000 6 9
307000 6 9
308000 6 9
309000 6 9
310000 6 9
311000 6 9
312000 6 9
313000 6 9
314000 7 11
315000 7 11
316000 7 11
317000 7 11
318000 7 11
319000 7 12
320000 7 12
321000 7 12
322000 7 12
323000 7 12
324000 7 12
325000 7 12
326000 7 12
327000 7 12
328000 7 12
329000 7 12
330000 7 12
331000 7 12
332000 7 12
333000 7 12
334000 7 12
335000 7 12
336000 7 12
337000 7 12
338000 7 12
339000 7 12
340000 7 12
341000 7 12
342000 7 12
343000 7 12
344000 7 12
345000 7 12
346000 7 12
347000 7 12
348000 7 12
349000 7 12
350000 7 12
351000 7 12
352000 7 12
353000 7 12
354000 7 12
355000 7 12
356000 7 12
357000 7 12
358000 7 12
359000 7 12
360000 7 12
361000 7 12
362000 7 12
363000 7 12
364000 7 12
365000 7 12
366000 7 12
367000 6 10
368000 8 14
369000 8 14
370000 9 16
371000 9 16
372000 8 14
373000 8 14
374000 8 14
375000 8 14
376000 8 14
377000 8 14
378000 8 14
379000 8 14
380000 8 14
381000 8 14
382000 8 14
383000 8 14
384000 8 14
385000 8 14
386000 8 14
387000 8 14
388000 8 14
389000 8 14
390000 8 14
391000 8 14
392000 8 14
393000 8 14
394000 8 14
395000 8 14
396000 8 14
397000 8 14
398000 9 16
399000 9 16
400000 9 16
401000 9 16
402000 9 16
403000 9 16
404000 9 16
405000 9 16
406000 9 16
407000 9 16
408000 9 16
409000 9 17
410000 9 17
411000 9 17
412000 9 17
413000 9 17
414000 9 17
415000 9 17
416000 9 17
417000 9 17
418000 9 17
419000 9 17
420000 9 17
421000 9 17
422000 9 17
423000 9 17
424000 9 17
425000 9 17
426000 9 17
427000 9 17
428000 9 17
429000 9 17
430000 9 17
431000 9 17
432000 9 17
433000 9 17
434000 9 17
435000 9 17
436000 9 17
437000 9 17
438000 9 17
439000 9 17
440000 9 17
441000 9 17
442000 9 17
443000 9 17
444000 9 17
445000 9 17
446000 9 17
447000 9 17
448000 10 19
449000 10 19
450000 10 19
451000 9 17
452000 9 17
453000 9 17
454000 9 17
455000 9 17
456000 9 17
457000 9 17
458000 9 17
459000 9 17
460000 9 17
461000 9 17
462000 9 17
463000 9 17
464000 9 17
465000 9 17
466000 9 17
467000 9 17
468000 9 17
469000 9 17
470000 9 17
471000 9 17
472000 9 17
473000 9 17
474000 9 17
475000 9 16
476000 9 16
477000 9 16
478000 10 18
479000 11 20
480000 11 20
481000 11 20
482000 11 20
483000 11 20
484000 10 18
485000 10 18
486000 10 18
487000 11 20
488000 11 20
489000 11 21
490000 11 20
491000 11 20
492000 11 21
493000 11 21
494000 11 21
495000 11 21
496000 11 21
497000 11 21
498000 11 21
499000 11 21
500000 11 21
501000 11 21
502000 11 21
503000 11 21
504000 11 21
505000 11 20
506000 11 20
507000 11 20
508000 11 20
509000 11 21
510000 11 21
511000 11 21
512000 11 21
513000 11 21
514000 11 21
515000 11 21
516000 11 21
517000 11 21
518000 11 20
519000 11 20
520000 11 21
521000 11 21
522000 11 21
523000 13 26
524000 13 26
525000 13 26
526000 13 26
527000 13 26
528000 13 26
529000 13 26
530000 14 28
531000 13 26
532000 13 25
533000 13 25
534000 13 25
535000 13 25
536000 13 26
537000 13 26
538000 13 26
539000 13 26
540000 13 26
541000 13 26
542000 13 26
543000 13 26
544000 14 28
545000 14 28
546000 13 26
547000 13 26
548000 13 26
549000 13 26
550000 13 26
551000 12 24
552000 11 22
553000 11 22
554000 11 22
555000 11 22
556000 11 22
557000 11 22
558000 11 22
559000 11 22
560000 11 22
561000 11 22
562000 11 22
563000 11 22
564000 11 22
565000 11 22
566000 12 24
567000 12 24
568000 12 24
569000 12 24
570000 12 24
571000 12 24
572000 12 24
573000 12 24
574000 12 24
575000 12 24
576000 12 24
577000 12 24
578000 13 26
579000 13 25
580000 13 25
581000 13 25
582000 13 25
583000 14 27
584000 14 27
585000 14 27
586000 13 25
587000 13 25
588000 13 25
589000 13 25
590000 13 25
591000 12 23
592000 12 23
593000 12 24
594000 12 24
595000 12 24
596000 12 24
597000 12 24
598000 12 24
599000 12 24
600000 12 24
601000 12 24
602000 12 24
603000 12 24
604000 12 24
605000 12 24
606000 12 24
607000 12 24
608000 12 24
609000 13 26
610000 13 26
611000 13 26
612000 13 26
613000 13 26
614000 12 24
615000 12 24
616000 12 24
617000 12 24
618000 13 26
619000 13 26
620000 13 26
621000 13 26
622000 14 28
623000 14 27
624000 14 27
625000 14 28
626000 14 28
627000 14 28
628000 14 28
629000 13 26
630000 13 26
631000 13 26
632000 13 26
633000 13 26
634000 13 27
635000 13 27
636000 13 27
637000 14 29
638000 15 31
639000 14 29
640000 14 29
641000 14 29
642000 14 29
643000 14 29
644000 14 29
645000 14 29
646000 14 29
647000 14 28
648000 15 30
