# sweep Nv Ne
0 3 3
1000 3 3
2000 3 3
3000 3 3
4000 3 3
5000 3 3
6000 3 3
7000 3 3
8000 3 3
9000 3 3
10000 3 3
11000 3 3
12000 3 3
13000 3 3
14000 3 3
15000 3 3
16000 3 3
17000 3 3
18000 3 3
19000 3 3
20000 3 3
21000 3 3
22000 3 3
23000 3 3
24000 3 3
25000 4 5
26000 4 5
27000 4 5
28000 5 7
29000 4 5
30000 4 5
31000 4 5
32000 4 5
33000 4 5
34000 4 5
35000 4 5
36000 4 5
37000 4 5
38000 4 5
39000 4 5
40000 4 5
41000 4 5
42000 4 5
43000 4 5
44000 4 5
45000 4 5
46000 4 5
47000 4 5
48000 4 5
49000 4 5
50000 4 5
51000 4 5
52000 4 5
53000 4 5
54000 4 5
55000 4 5
56000 4 5
57000 4 5
58000 4 5
59000 4 5
60000 4 5
61000 4 5
62000 4 5
63000 4 5
64000 4 5
65000 4 5
66000 4 5
67000 4 5
68000 4 5
69000 4 5
70000 4 5
71000 4 5
72000 4 5
73000 4 5
74000 4 5
75000 4 5
76000 4 5
77000 4 5
78000 4 5
79000 4 5
80000 4 5
81000 4 5
82000 4 5
83000 4 5
84000 5 7
85000 5 7
86000 5 7
87000 5 7
88000 5 7
89000 5 7
90000 5 7
91000 5 7
92000 5 7
93000 5 7
94000 5 7
95000 5 7
96000 5 7
97000 5 7
98000 5 7
99000 5 7
100000 5 7
101000 5 7
102000 6 9
103000 6 9
104000 6 9
105000 6 9
106000 6 9
107000 6 9
108000 6 9
109000 6 9
110000 6 9
111000 6 9
112000 6 9
113000 7 11
114000 7 11
115000 7 11
116000 7 11
117000 7 11
118000 7 12
119000 7 12
120000 7 12
121000 7 12
122000 7 12
123000 7 12
124000 7 12
125000 7 12
126000 7 12
127000 7 12
128000 7 12
129000 7 12
130000 7 12
131000 7 12
132000 7 12
133000 7 12
134000 7 12
135000 7 12
136000 7 12
137000 8 14
138000 8 14
139000 8 14
140000 8 14
141000 9 16
142000 9 16
143000 9 16
144000 9 16
145000 9 16
146000 9 16
147000 9 16
148000 9 16
149000 9 16
150000 9 16
151000 9 16
152000 9 16
153000 9 16
154000 9 16
155000 9 16
156000 9 16
157000 9 16
158000 9 16
159000 9 16
160000 9 16
161000 9 16
162000 10 18
163000 10 18
164000 11 20
165000 11 20
166000 11 21
167000 11 21
168000 11 21
169000 11 21
170000 11 21
171000 11 21
172000 11 21
173000 11 21
174000 11 21
175000 11 21
176000 11 21
177000 11 21
178000 11 21
179000 11 21
180000 11 21
181000 11 21
182000 11 21
183000 12 23
184000 12 22
185000 12 22
186000 12 22
187000 12 22
188000 11 20
189000 11 20
190000 11 20
191000 11 20
192000 11 20
193000 11 20
194000 11 20
195000 11 21
196000 11 21
197000 11 21
198000 11 21
199000 11 21
200000 11 21
201000 11 21
202000 11 21
203000 11 21
204000 11 21
205000 11 21
206000 11 21
207000 11 21
208000 11 21
209000 11 21
210000 11 20
211000 11 20
212000 11 20
213000 11 21
214000 11 21
215000 11 21
216000 11 21
217000 11 21
218000 11 21
219000 11 21
220000 11 21
221000 11 21
222000 12 23
223000 12 23
224000 12 24
225000 12 24
226000 12 24
227000 12 24
228000 12 24
229000 12 24
230000 12 24
231000 12 24
232000 12 24
233000 12 24
234000 12 24
235000 12 24
236000 12 24
237000 11 22
238000 11 22
239000 11 22
240000 11 22
241000 11 22
242000 11 22
243000 11 22
244000 11 22
245000 11 22
246000 11 22
247000 11 22
248000 11 22
249000 11 22
250000 11 22
251000 11 22
252000 11 22
253000 11 22
254000 11 22
255000 11 22
256000 11 22
257000 11 22
258000 11 22
259000 11 22
260000 11 22
261000 11 22
262000 11 22
263000 11 22
264000 11 22
265000 11 22
266000 11 22
267000 11 22
268000 11 22
269000 11 22
270000 11 22
271000 11 22
272000 11 21
273000 11 22
274000 11 22
275000 11 22
276000 11 22
277000 11 22
278000 11 22
279000 11 22
280000 11 22
281000 11 22
282000 11 22
283000 11 22
284000 11 22
285000 11 22
286000 11 22
287000 11 22
288000 11 22
289000 11 22
290000 11 22
291000 11 22
292000 11 22
293000 12 24
294000 12 24
295000 12 24
296000 12 24
297000 11 22
298000 11 22
299000 11 21
300000 11 21
301000 11 21
302000 11 21
303000 11 22
304000 11 22
305000 11 22
306000 11 22
307000 11 22
308000 11 22
309000 11 22
310000 12 24
311000 12 24
312000 12 24
313000 13 26
314000 13 26
315000 13 26
316000 13 26
317000 14 28
318000 14 28
319000 14 28
320000 14 28
321000 14 28
322000 14 28
323000 14 28
324000 14 28
325000 15 30
326000 16 32
327000 16 32
328000 16 32
329000 16 32
330000 16 33
331000 16 34
332000 16 34
333000 16 34
334000 16 34
335000 16 34
336000 16 34
337000 16 34
338000 16 34
339000 16 34
340000 16 34
341000 16 34
342000 16 34
343000 16 34
344000 16 34
345000 16 34
346000 16 34
347000 16 34
348000 16 34
349000 16 34
350000 16 34
351000 16 34
352000 16 34
353000 16 34
354000 16 34
355000 16 34
356000 17 36
357000 16 34
358000 16 34
359000 16 34
360000 16 34
361000 16 34
362000 16 34
363000 16 34
364000 16 35
365000 16 35
366000 16 35
367000 16 35
368000 16 35
369000 16 35
370000 16 35
371000 16 35
372000 16 35
373000 16 35
374000 16 35
375000 16 35
376000 16 35
377000 16 35
378000 16 35
379000 17 37
380000 17 37
381000 17 36
382000 17 36
383000 17 36
384000 17 36
385000 18 38
386000 18 38
387000 18 38
388000 18 39
389000 18 39
390000 18 39
391000 18 39
392000 18 39
393000 18 39
394000 18 39
395000 18 39
396000 18 39
397000 18 39
398000 18 39
399000 18 38
400000 18 38
401000 18 38
402000 18 38
403000 18 38
404000 18 38
405000 18 38
406000 18 38
407000 18 38
408000 18 39
409000 18 39
410000 18 39
411000 18 39
412000 18 39
413000 19 41
414000 19 42
415000 19 42
416000 19 42
417000 19 42
418000 19 42
419000 20 44
420000 20 44
421000 20 44
422000 20 44
423000 20 44
424000 20 44
425000 20 44
426000 20 44
427000 21 46
428000 21 46
429000 21 46
430000 21 46
431000 21 46
432000 21 46
433000 21 46
434000 21 46
435000 21 46
436000 21 46
437000 21 46
438000 21 46
439000 21 46
440000 21 46
441000 21 46
442000 21 46
443000 21 46
444000 22 48
445000 22 48
446000 22 48
447000 22 48
448000 22 49
449000 22 49
450000 22 49
451000 22 49
452000 23 51
453000 23 51
454000 23 51
455000 23 51
456000 23 51
457000 23 51
458000 23 51
459000 24 53
460000 24 53
461000 24 53
462000 24 53
463000 24 53
464000 24 53
465000 24 53
466000 24 53
467000 24 53
468000 24 53
469000 24 53
470000 24 53
471000 24 53
472000 24 53
473000 24 53
474000 24 53
475000 24 54
476000 24 54
477000 24 54
478000 24 54
479000 24 55
480000 24 55
481000 25 57
482000 25 57
483000 25 57
484000 25 57
485000 25 57
486000 25 57
487000 25 58
488000 25 58
489000 25 58
490000 25 58
491000 25 58
492000 25 58
493000 25 58
494000 25 58
495000 25 58
496000 25 59
497000 25 59
498000 25 59
499000 25 59
500000 25 59
501000 25 59
502000 25 59
503000 25 59
504000 26 62
505000 26 62
506000 27 64
507000 27 64
508000 27 64
509000 27 64
510000 27 64
511000 27 64
512000 27 64
513000 27 64
514000 27 64
515000 27 64
516000 27 64
517000 27 64
518000 27 64
519000 28 66
520000 28 66
521000 28 66
522000 28 67
523000 28 67
524000 28 67
525000 28 67
526000 28 67
527000 28 67
528000 28 67
529000 28 67
530000 28 67
531000 28 67
532000 28 67
533000 28 67
534000 28 67
535000 28 67
536000 28 67
537000 28 67
538000 28 67
539000 28 67
540000 28 67
541000 28 67
542000 29 69
543000 30 71
544000 30 71
545000 30 71
546000 30 71
547000 30 71
548000 31 73
549000 31 72
550000 31 72
551000 31 73
552000 31 73
553000 31 73
554000 31 73
555000 32 75
556000 32 75
557000 32 76
558000 32 76
559000 32 76
560000 32 77
561000 32 77
562000 32 77
563000 32 77
564000 32 79
565000 32 79
566000 32 79
567000 32 79
568000 32 79
569000 33 81
570000 33 81
571000 33 81
572000 34 83
573000 34 83
574000 34 84
575000 33 82
576000 34 84
577000 34 84
578000 34 85
579000 34 85
580000 34 85
581000 34 86
582000 34 86
583000 34 86
584000 34 86
585000 34 86
586000 35 88
587000 36 90
588000 36 91
589000 36 91
590000 36 91
591000 36 91
592000 35 89
593000 35 90
594000 35 90
595000 35 90
596000 35 90
597000 35 90
598000 35 90
599000 35 90
600000 35 90
601000 35 90
602000 35 90
603000 35 90
604000 35 90
605000 35 91
606000 35 91
607000 35 91
608000 35 91
609000 35 91
610000 35 91
611000 35 91
612000 35 91
613000 35 91
614000 36 93
615000 36 93
616000 36 93
617000 36 93
618000 36 93
619000 36 93
620000 36 93
621000 36 93
622000 36 93
623000 36 93
624000 37 95
625000 37 95
626000 37 95
627000 37 96
628000 37 96
629000 37 96
630000 37 96
631000 37 96
632000 37 96
633000 37 96
634000 37 96
635000 37 96
636000 37 96
637000 37 95
638000 37 95
639000 37 95
640000 37 95
641000 37 95
642000 37 95
643000 37 95
644000 38 98
645000 38 98
646000 38 98
647000 38 98
648000 38 97
