# sweep Nv Ne
0 3 3
1000 3 3
2000 3 3
3000 3 3
4000 3 3
5000 3 3
6000 3 3
7000 3 3
8000 3 3
9000 3 3
10000 3 3
11000 3 3
12000 3 3
13000 3 3
14000 3 3
15000 3 3
16000 3 3
17000 3 3
18000 3 3
19000 3 3
20000 3 3
21000 3 3
22000 3 3
23000 3 3
24000 3 3
25000 3 3
26000 3 3
27000 3 3
28000 3 3
29000 3 3
30000 3 3
31000 3 3
32000 3 3
33000 3 3
34000 3 3
35000 3 3
36000 3 3
37000 3 3
38000 3 3
39000 3 3
40000 3 3
41000 3 3
42000 3 3
43000 3 3
44000 3 3
45000 3 3
46000 3 3
47000 3 3
48000 3 3
49000 3 3
50000 3 3
51000 3 3
52000 3 3
53000 3 3
54000 3 3
55000 3 3
56000 3 3
57000 3 3
58000 3 3
59000 3 3
60000 3 3
61000 3 3
62000 3 3
63000 3 3
64000 4 5
65000 4 5
66000 4 5
67000 5 7
68000 5 7
69000 5 7
70000 5 7
71000 5 7
72000 5 7
73000 5 7
74000 5 7
75000 5 7
76000 5 7
77000 5 7
78000 5 7
79000 5 7
80000 5 7
81000 5 7
82000 5 7
83000 5 7
84000 5 7
85000 5 7
86000 6 9
87000 6 9
88000 6 9
89000 6 9
90000 6 9
91000 6 9
92000 6 9
93000 6 9
94000 6 9
95000 6 9
96000 6 9
97000 6 9
98000 6 9
99000 7 11
100000 7 11
101000 7 11
102000 7 11
103000 7 11
104000 7 11
105000 7 11
106000 7 12
107000 8 14
108000 8 14
109000 8 14
110000 8 14
111000 8 14
112000 8 14
113000 8 14
114000 8 14
115000 8 14
116000 8 14
117000 8 14
118000 8 14
119000 8 14
120000 8 14
121000 8 14
122000 8 14
123000 9 16
124000 9 16
125000 9 16
126000 9 16
127000 9 16
128000 9 16
129000 9 16
130000 10 18
131000 10 19
132000 10 19
133000 10 19
134000 10 19
135000 10 19
136000 10 19
137000 10 19
138000 10 19
139000 11 21
140000 11 21
141000 11 21
142000 11 21
143000 11 21
144000 12 23
145000 12 23
146000 13 25
147000 13 25
148000 13 25
149000 13 25
150000 13 25
151000 13 25
152000 14 28
153000 14 28
154000 15 30
155000 15 31
156000 16 33
157000 16 33
158000 16 33
159000 16 33
160000 16 33
161000 16 33
162000 17 35
163000 18 37
164000 18 37
165000 17 35
166000 17 35
167000 17 35
168000 17 35
169000 17 35
170000 17 35
171000 18 37
172000 18 37
173000 18 37
174000 18 37
175000 18 37
176000 18 37
177000 18 37
178000 18 37
179000 18 37
180000 18 37
181000 18 37
182000 18 37
183000 18 37
184000 18 37
185000 18 37
186000 18 37
187000 18 37
188000 18 37
189000 18 37
190000 18 37
191000 18 37
192000 17 35
193000 17 36
194000 17 36
195000 18 39
196000 20 43
197000 20 43
198000 20 44
199000 20 45
200000 20 45
201000 21 47
202000 21 47
203000 21 47
204000 21 47
205000 21 47
206000 21 47
207000 21 47
208000 21 47
209000 22 49
210000 22 49
211000 22 49
212000 22 49
213000 23 51
214000 23 51
215000 23 51
216000 24 53
217000 24 53
218000 24 54
219000 24 54
220000 24 54
221000 24 54
222000 24 54
223000 23 52
224000 23 52
225000 23 52
226000 23 52
227000 23 52
228000 23 52
229000 23 52
230000 23 52
231000 23 52
232000 23 52
233000 23 52
234000 23 52
235000 23 52
236000 23 52
237000 23 52
238000 24 55
239000 24 55
240000 24 55
241000 24 55
242000 24 55
243000 24 55
244000 24 55
245000 25 57
246000 26 59
247000 26 59
248000 26 60
249000 26 60
250000 25 58
251000 26 60
252000 26 60
253000 26 60
254000 27 62
255000 27 62
256000 28 64
257000 28 65
258000 28 65
259000 28 66
260000 28 68
261000 28 68
262000 28 68
263000 28 68
264000 28 68
265000 28 68
266000 28 68
267000 28 68
268000 28 68
269000 28 68
270000 29 70
271000 29 70
272000 29 70
273000 29 70
274000 29 70
275000 29 70
276000 29 70
277000 29 70
278000 29 70
279000 29 70
280000 29 70
281000 29 70
282000 29 70
283000 29 70
284000 29 70
285000 29 70
286000 29 70
287000 29 70
288000 29 70
289000 29 70
290000 29 70
291000 29 70
292000 30 72
293000 30 72
294000 30 72
295000 30 72
296000 30 72
297000 30 72
298000 30 72
299000 30 72
300000 30 72
301000 30 72
302000 30 72
303000 31 74
304000 31 74
305000 31 74
306000 31 74
307000 31 74
308000 32 76
309000 32 76
310000 32 76
311000 34 80
312000 34 80
313000 34 80
314000 33 80
315000 34 82
316000 34 82
317000 34 82
318000 34 82
319000 34 83
320000 34 83
321000 34 83
322000 34 83
323000 34 83
324000 35 85
325000 36 86
326000 35 86
327000 35 86
328000 35 87
329000 35 86
330000 35 86
331000 35 86
332000 35 86
333000 35 86
334000 36 88
335000 36 88
336000 36 88
337000 36 88
338000 36 88
339000 36 88
340000 36 88
341000 36 88
342000 36 88
343000 36 88
344000 36 88
345000 36 87
346000 36 87
347000 36 87
348000 36 87
349000 36 87
350000 36 87
351000 36 87
352000 36 87
353000 35 87
354000 35 86
355000 35 86
356000 35 85
357000 36 87
358000 36 87
359000 36 88
360000 36 89
361000 37 91
362000 37 91
363000 37 91
364000 37 91
365000 37 91
366000 37 92
367000 37 92
368000 38 94
369000 38 94
370000 38 94
371000 38 94
372000 38 93
373000 38 93
374000 38 93
375000 38 93
376000 38 93
377000 38 93
378000 38 93
379000 38 93
380000 38 93
381000 38 93
382000 39 95
383000 39 95
384000 39 95
385000 39 95
386000 39 95
387000 40 97
388000 40 98
389000 40 100
390000 40 101
391000 40 103
392000 40 103
393000 40 103
394000 40 103
395000 40 103
396000 40 103
397000 40 103
398000 41 105
399000 41 105
400000 41 105
401000 41 105
402000 41 105
403000 42 108
404000 42 108
405000 42 108
406000 42 108
407000 42 108
408000 42 108
409000 42 108
410000 42 108
411000 42 108
412000 42 108
413000 42 108
414000 42 108
415000 42 108
416000 43 110
417000 43 110
418000 43 110
419000 43 111
420000 43 111
421000 43 111
422000 43 111
423000 43 111
424000 44 114
425000 44 114
426000 44 114
427000 44 114
428000 44 114
429000 44 114
430000 43 114
431000 43 114
432000 43 114
433000 43 114
434000 43 114
435000 43 114
436000 43 113
437000 43 113
438000 43 113
439000 43 113
440000 43 113
441000 43 114
442000 43 114
443000 43 114
444000 43 114
445000 43 114
446000 43 114
447000 43 114
448000 43 114
449000 43 114
450000 43 114
451000 43 113
452000 44 115
453000 44 115
454000 44 115
455000 44 116
456000 44 116
457000 44 117
458000 44 117
459000 44 117
460000 45 120
461000 45 120
462000 45 120
463000 45 120
464000 45 120
465000 45 121
466000 46 124
467000 45 124
468000 45 124
469000 45 124
470000 45 124
471000 45 124
472000 45 124
473000 45 124
474000 45 124
475000 45 124
476000 46 126
477000 46 126
478000 46 126
479000 46 126
480000 46 126
481000 46 126
482000 46 126
483000 46 126
484000 46 126
485000 46 126
486000 46 126
487000 46 126
488000 46 126
489000 46 126
490000 45 124
491000 45 124
492000 45 124
493000 45 124
494000 45 124
495000 45 124
496000 45 124
497000 45 124
498000 45 124
499000 45 124
500000 45 124
501000 45 124
502000 45 124
503000 45 124
504000 45 124
505000 45 124
506000 45 124
507000 45 124
508000 45 124
509000 44 123
510000 43 123
511000 43 123
512000 43 123
513000 43 123
514000 43 123
515000 43 123
516000 43 123
517000 43 123
518000 43 123
519000 43 123
520000 43 123
521000 43 123
522000 43 123
523000 43 123
524000 43 123
525000 43 123
526000 43 123
527000 43 123
528000 43 123
529000 43 123
530000 43 123
531000 43 123
532000 43 123
533000 43 123
534000 43 123
535000 43 123
536000 43 123
537000 43 123
538000 43 123
539000 43 123
540000 43 123
541000 43 123
542000 43 123
543000 43 123
544000 43 123
545000 43 123
546000 43 123
547000 43 123
548000 43 123
549000 43 123
550000 43 123
551000 43 123
552000 43 123
553000 43 123
554000 43 123
555000 43 123
556000 43 123
557000 43 123
558000 43 123
559000 43 123
560000 43 123
561000 43 123
562000 43 123
563000 43 123
564000 43 123
565000 43 123
566000 43 123
567000 43 123
568000 43 123
569000 43 123
570000 43 123
571000 43 123
572000 43 123
573000 43 123
574000 43 123
575000 43 123
576000 43 123
577000 43 123
578000 43 123
579000 43 123
580000 43 123
581000 43 123
582000 43 123
583000 43 123
584000 43 123
585000 43 123
586000 43 123
587000 43 123
588000 43 123
589000 43 123
590000 43 123
591000 43 123
592000 43 123
593000 43 123
594000 43 123
595000 43 123
596000 43 123
597000 43 123
598000 43 123
599000 43 123
600000 43 123
601000 43 123
602000 43 123
603000 43 123
604000 43 123
605000 43 123
606000 43 123
607000 43 123
608000 43 123
609000 43 123
